column,original_missing_count,standardized_missing_label_count,missing_count_after_standardization,n_unique_after_standardization
id,0,0,0,250000
term,0,0,0,2
issue_quarter,0,0,0,46
debt_settlement_flag,0,0,0,2
disbursement_method,0,0,0,2
hardship_flag,0,0,0,1
verification_status_joint,245312,0,245312,3
application_type,0,0,0,2
last_credit_pull_d,12,0,12,129
last_pymnt_d,438,0,438,133
initial_list_status,0,0,0,2
earliest_cr_line,0,0,0,685
addr_state,0,0,0,50
zip_code,0,0,0,901
purpose,0,0,0,14
url,0,0,0,250000
loan_status,0,0,0,2
issue_d,0,0,0,138
verification_status,0,0,0,3
home_ownership,0,0,0,6
emp_length,14507,0,14507,11
sub_grade,0,0,0,35
grade,0,0,0,7
issue_month,0,0,0,138
