column,planned_treatment,raw_dtype,raw_missing_pct,sample_values
loan_amnt,numeric_coerce,float64,0.0,4525.0; 5000.0; 35000.0; 10000.0; 35000.0
installment,numeric_coerce,float64,0.0,161.65; 158.98; 869.66; 336.9; 1179.12
annual_inc,numeric_coerce,float64,0.0,44000.0; 68000.0; 85000.0; 33000.0; 120000.0
dti,numeric_coerce,float64,0.032,22.83; 10.89; 21.11; 26.11; 7.9
delinq_2yrs,numeric_coerce,float64,0.0,0.0; 1.0; 0.0; 0.0; 0.0
inq_last_6mths,numeric_coerce,float64,0.0,2.0; 0.0; 0.0; 0.0; 0.0
mths_since_last_delinq,numeric_coerce,float64,50.3852,3.0; 40.0; 45.0; 59.0; 19.0
mths_since_last_record,numeric_coerce,float64,83.1024,27.0; 84.0; 85.0; 71.0; 114.0
open_acc,numeric_coerce,float64,0.0,5.0; 11.0; 9.0; 7.0; 12.0
pub_rec,numeric_coerce,float64,0.0,0.0; 0.0; 0.0; 0.0; 0.0
revol_bal,numeric_coerce,float64,0.0,1335.0; 16643.0; 32680.0; 11550.0; 29716.0
total_acc,numeric_coerce,float64,0.0,7.0; 20.0; 13.0; 12.0; 24.0
collections_12_mths_ex_med,numeric_coerce,float64,0.0036,0.0; 0.0; 0.0; 0.0; 0.0
mths_since_last_major_derog,numeric_coerce,float64,73.6976,45.0; 59.0; 41.0; 14.0; 46.0
acc_now_delinq,numeric_coerce,float64,0.0,0.0; 0.0; 0.0; 0.0; 0.0
tot_coll_amt,numeric_coerce,float64,5.0224,0.0; 0.0; 0.0; 0.0; 0.0
tot_cur_bal,numeric_coerce,float64,5.0224,30134.0; 227693.0; 99146.0; 58119.0; 81701.0
annual_inc_joint,numeric_coerce,float64,98.1072,90030.37; 57000.0; 63000.0; 116000.0; 34279.0
dti_joint,numeric_coerce,float64,98.1072,26.44; 18.78; 16.78; 11.63; 26.75
total_rev_hi_lim,numeric_coerce,float64,5.0224,2050.0; 35400.0; 36000.0; 17400.0; 67300.0
acc_open_past_24mths,numeric_coerce,float64,3.536,5.0; 3.0; 3.0; 6.0; 7.0
avg_cur_bal,numeric_coerce,float64,5.0244,6026.0; 20699.0; 11016.0; 8303.0; 6808.0
bc_open_to_buy,numeric_coerce,float64,4.5608,1025.0; 5444.0; 1381.0; 4900.0; 18284.0
bc_util,numeric_coerce,float64,4.6216,65.0; 73.2; 94.7; 69.4; 61.9
mort_acc,numeric_coerce,float64,3.536,0.0; 2.0; 0.0; 0.0; 0.0
pub_rec_bankruptcies,numeric_coerce,float64,0.05,0.0; 0.0; 0.0; 0.0; 0.0
tax_liens,numeric_coerce,float64,0.0024,0.0; 0.0; 0.0; 0.0; 0.0
tot_hi_cred_lim,numeric_coerce,float64,5.0224,33317.0; 253400.0; 114783.0; 79234.0; 127574.0
total_bal_ex_mort,numeric_coerce,float64,3.536,30134.0; 17218.0; 99146.0; 58119.0; 81701.0
total_bc_limit,numeric_coerce,float64,3.536,2050.0; 20300.0; 26300.0; 16000.0; 48000.0
total_il_high_credit_limit,numeric_coerce,float64,5.0224,31267.0; 6000.0; 78783.0; 61834.0; 60274.0
out_prncp,numeric_coerce,float64,0.0,0.0; 0.0; 0.0; 0.0; 0.0
total_pymnt,numeric_coerce,float64,0.0,1690.25; 5188.4534298648; 9608.67; 12120.2012929162; 42360.5799467935
total_rec_prncp,numeric_coerce,float64,0.0,708.93; 5000.0; 4419.36; 10000.0; 35000.0
