feature,missing_count,missing_pct,dtype
mths_since_last_record,1116755,83.011,float64
mths_since_last_delinq,678743,50.4525,float64
emp_length_years,78511,5.8359,Float64
avg_cur_bal,67549,5.0211,float64
total_il_high_credit_limit,67527,5.0194,float64
tot_coll_amt,67527,5.0194,float64
tot_cur_bal,67527,5.0194,float64
bc_util,61912,4.6021,float64
bc_open_to_buy,61143,4.5449,float64
total_bc_limit,47281,3.5145,float64
total_bal_ex_mort,47281,3.5145,float64
mort_acc,47281,3.5145,float64
acc_open_past_24mths,47281,3.5145,float64
revol_util_clean,857,0.0637,float64
pub_rec_bankruptcies,697,0.0518,float64
dti,374,0.0278,float64
collections_12_mths_ex_med,56,0.0042,float64
tax_liens,39,0.0029,float64
inq_last_6mths,1,0.0001,float64
credit_history_years,0,0.0,float64
acc_now_delinq,0,0.0,float64
loan_amnt,0,0.0,float64
revol_bal,0,0.0,float64
total_acc,0,0.0,float64
term_months,0,0.0,Int16
pub_rec,0,0.0,float64
open_acc,0,0.0,float64
fico_mean,0,0.0,float64
delinq_2yrs,0,0.0,float64
purpose,0,0.0,string
verification_status,0,0.0,string
annual_inc,0,0.0,float64
home_ownership,0,0.0,string
sub_grade,0,0.0,string
grade,0,0.0,string
installment,0,0.0,float64
int_rate_clean,0,0.0,float64
application_type,0,0.0,string
