column,duplicate_count,has_leading_or_trailing_space,has_internal_space,has_uppercase,case_collision_count
id,1,False,False,False,1
member_id,1,False,False,False,1
loan_amnt,1,False,False,False,1
term,1,False,False,False,1
int_rate,1,False,False,False,1
installment,1,False,False,False,1
grade,1,False,False,False,1
sub_grade,1,False,False,False,1
emp_length,1,False,False,False,1
home_ownership,1,False,False,False,1
annual_inc,1,False,False,False,1
verification_status,1,False,False,False,1
issue_d,1,False,False,False,1
loan_status,1,False,False,False,1
url,1,False,False,False,1
purpose,1,False,False,False,1
zip_code,1,False,False,False,1
addr_state,1,False,False,False,1
dti,1,False,False,False,1
delinq_2yrs,1,False,False,False,1
earliest_cr_line,1,False,False,False,1
fico_range_low,1,False,False,False,1
fico_range_high,1,False,False,False,1
inq_last_6mths,1,False,False,False,1
mths_since_last_delinq,1,False,False,False,1
mths_since_last_record,1,False,False,False,1
open_acc,1,False,False,False,1
pub_rec,1,False,False,False,1
revol_bal,1,False,False,False,1
revol_util,1,False,False,False,1
total_acc,1,False,False,False,1
initial_list_status,1,False,False,False,1
out_prncp,1,False,False,False,1
total_pymnt,1,False,False,False,1
total_rec_prncp,1,False,False,False,1
total_rec_int,1,False,False,False,1
recoveries,1,False,False,False,1
collection_recovery_fee,1,False,False,False,1
last_pymnt_d,1,False,False,False,1
last_pymnt_amnt,1,False,False,False,1
last_credit_pull_d,1,False,False,False,1
last_fico_range_high,1,False,False,False,1
last_fico_range_low,1,False,False,False,1
collections_12_mths_ex_med,1,False,False,False,1
mths_since_last_major_derog,1,False,False,False,1
policy_code,1,False,False,False,1
application_type,1,False,False,False,1
annual_inc_joint,1,False,False,False,1
dti_joint,1,False,False,False,1
verification_status_joint,1,False,False,False,1
acc_now_delinq,1,False,False,False,1
tot_coll_amt,1,False,False,False,1
tot_cur_bal,1,False,False,False,1
open_acc_6m,1,False,False,False,1
open_act_il,1,False,False,False,1
open_il_12m,1,False,False,False,1
open_il_24m,1,False,False,False,1
mths_since_rcnt_il,1,False,False,False,1
total_bal_il,1,False,False,False,1
il_util,1,False,False,False,1
open_rv_12m,1,False,False,False,1
open_rv_24m,1,False,False,False,1
max_bal_bc,1,False,False,False,1
all_util,1,False,False,False,1
total_rev_hi_lim,1,False,False,False,1
inq_fi,1,False,False,False,1
total_cu_tl,1,False,False,False,1
inq_last_12m,1,False,False,False,1
acc_open_past_24mths,1,False,False,False,1
avg_cur_bal,1,False,False,False,1
bc_open_to_buy,1,False,False,False,1
bc_util,1,False,False,False,1
chargeoff_within_12_mths,1,False,False,False,1
delinq_amnt,1,False,False,False,1
mo_sin_old_il_acct,1,False,False,False,1
mo_sin_old_rev_tl_op,1,False,False,False,1
mo_sin_rcnt_rev_tl_op,1,False,False,False,1
mo_sin_rcnt_tl,1,False,False,False,1
mort_acc,1,False,False,False,1
mths_since_recent_bc,1,False,False,False,1
mths_since_recent_bc_dlq,1,False,False,False,1
mths_since_recent_inq,1,False,False,False,1
mths_since_recent_revol_delinq,1,False,False,False,1
num_accts_ever_120_pd,1,False,False,False,1
num_actv_bc_tl,1,False,False,False,1
num_actv_rev_tl,1,False,False,False,1
num_bc_sats,1,False,False,False,1
num_bc_tl,1,False,False,False,1
num_il_tl,1,False,False,False,1
num_op_rev_tl,1,False,False,False,1
num_rev_accts,1,False,False,False,1
num_rev_tl_bal_gt_0,1,False,False,False,1
num_sats,1,False,False,False,1
num_tl_120dpd_2m,1,False,False,False,1
num_tl_30dpd,1,False,False,False,1
num_tl_90g_dpd_24m,1,False,False,False,1
num_tl_op_past_12m,1,False,False,False,1
pct_tl_nvr_dlq,1,False,False,False,1
percent_bc_gt_75,1,False,False,False,1
pub_rec_bankruptcies,1,False,False,False,1
tax_liens,1,False,False,False,1
tot_hi_cred_lim,1,False,False,False,1
total_bal_ex_mort,1,False,False,False,1
total_bc_limit,1,False,False,False,1
total_il_high_credit_limit,1,False,False,False,1
hardship_flag,1,False,False,False,1
disbursement_method,1,False,False,False,1
debt_settlement_flag,1,False,False,False,1
