column,expected_type_group,actual_dtype,missing_pct,non_null
loan_amnt,numeric,float64,0.0,1345310
installment,numeric,float64,0.0,1345310
annual_inc,numeric,float64,0.0,1345310
dti,numeric,float64,0.0278,1344936
delinq_2yrs,numeric,float64,0.0,1345310
inq_last_6mths,numeric,float64,0.0001,1345309
mths_since_last_delinq,numeric,float64,50.4525,666567
mths_since_last_record,numeric,float64,83.011,228555
open_acc,numeric,float64,0.0,1345310
pub_rec,numeric,float64,0.0,1345310
revol_bal,numeric,float64,0.0,1345310
total_acc,numeric,float64,0.0,1345310
collections_12_mths_ex_med,numeric,float64,0.0042,1345254
mths_since_last_major_derog,numeric,float64,73.7049,353750
acc_now_delinq,numeric,float64,0.0,1345310
tot_coll_amt,numeric,float64,5.0194,1277783
tot_cur_bal,numeric,float64,5.0194,1277783
annual_inc_joint,numeric,float64,98.0822,25800
dti_joint,numeric,float64,98.0824,25797
total_rev_hi_lim,numeric,float64,5.0194,1277783
acc_open_past_24mths,numeric,float64,3.5145,1298029
avg_cur_bal,numeric,float64,5.0211,1277761
bc_open_to_buy,numeric,float64,4.5449,1284167
bc_util,numeric,float64,4.6021,1283398
mort_acc,numeric,float64,3.5145,1298029
pub_rec_bankruptcies,numeric,float64,0.0518,1344613
tax_liens,numeric,float64,0.0029,1345271
tot_hi_cred_lim,numeric,float64,5.0194,1277783
total_bal_ex_mort,numeric,float64,3.5145,1298029
total_bc_limit,numeric,float64,3.5145,1298029
total_il_high_credit_limit,numeric,float64,5.0194,1277783
out_prncp,numeric,float64,0.0,1345310
total_pymnt,numeric,float64,0.0,1345310
total_rec_prncp,numeric,float64,0.0,1345310
total_rec_int,numeric,float64,0.0,1345310
recoveries,numeric,float64,0.0,1345310
collection_recovery_fee,numeric,float64,0.0,1345310
last_pymnt_amnt,numeric,float64,0.0,1345310
last_fico_range_high,numeric,float64,0.0,1345310
last_fico_range_low,numeric,float64,0.0,1345310
open_acc_6m,numeric,float64,60.0392,537597
open_act_il,numeric,float64,60.0391,537598
open_il_12m,numeric,float64,60.0391,537598
open_il_24m,numeric,float64,60.0391,537598
mths_since_rcnt_il,numeric,float64,61.0958,523382
total_bal_il,numeric,float64,60.0391,537598
il_util,numeric,float64,65.4343,465016
open_rv_12m,numeric,float64,60.0391,537598
open_rv_24m,numeric,float64,60.0391,537598
max_bal_bc,numeric,float64,60.0391,537598
all_util,numeric,float64,60.043,537545
inq_fi,numeric,float64,60.0391,537598
total_cu_tl,numeric,float64,60.0392,537597
inq_last_12m,numeric,float64,60.0392,537597
chargeoff_within_12_mths,numeric,float64,0.0042,1345254
delinq_amnt,numeric,float64,0.0,1345310
mo_sin_old_il_acct,numeric,float64,7.8476,1239735
mo_sin_old_rev_tl_op,numeric,float64,5.0195,1277782
mo_sin_rcnt_rev_tl_op,numeric,float64,5.0195,1277782
mo_sin_rcnt_tl,numeric,float64,5.0194,1277783
mths_since_recent_bc,numeric,float64,4.4764,1285089
mths_since_recent_bc_dlq,numeric,float64,76.2865,319020
mths_since_recent_inq,numeric,float64,12.9391,1171239
mths_since_recent_revol_delinq,numeric,float64,66.5533,449962
num_accts_ever_120_pd,numeric,float64,5.0194,1277783
num_actv_bc_tl,numeric,float64,5.0194,1277783
num_actv_rev_tl,numeric,float64,5.0194,1277783
num_bc_sats,numeric,float64,4.1508,1289469
num_bc_tl,numeric,float64,5.0194,1277783
num_il_tl,numeric,float64,5.0194,1277783
num_op_rev_tl,numeric,float64,5.0194,1277783
num_rev_accts,numeric,float64,5.0195,1277782
num_rev_tl_bal_gt_0,numeric,float64,5.0194,1277783
num_sats,numeric,float64,4.1508,1289469
num_tl_120dpd_2m,numeric,float64,8.7267,1227909
num_tl_30dpd,numeric,float64,5.0194,1277783
num_tl_90g_dpd_24m,numeric,float64,5.0194,1277783
num_tl_op_past_12m,numeric,float64,5.0194,1277783
pct_tl_nvr_dlq,numeric,float64,5.0309,1277629
percent_bc_gt_75,numeric,float64,4.5755,1283755
int_rate_clean,numeric,float64,0.0,1345310
revol_util_clean,numeric,float64,0.0637,1344453
term_months,numeric,Int16,0.0,1345310
emp_length_years,numeric,Float64,5.8359,1266799
fico_mean,numeric,float64,0.0,1345310
credit_history_years,numeric,float64,0.0,1345310
grade,categorical_string,string,0.0,1345310
sub_grade,categorical_string,string,0.0,1345310
emp_length,categorical_string,string,5.8359,1266799
home_ownership,categorical_string,string,0.0,1345310
verification_status,categorical_string,string,0.0,1345310
loan_status,categorical_string,string,0.0,1345310
purpose,categorical_string,string,0.0,1345310
zip_code,categorical_string,string,0.0001,1345309
addr_state,categorical_string,string,0.0,1345310
initial_list_status,categorical_string,string,0.0,1345310
application_type,categorical_string,string,0.0,1345310
verification_status_joint,categorical_string,string,98.0975,25595
disbursement_method,categorical_string,string,0.0,1345310
hardship_flag,categorical_string,string,0.0,1345310
debt_settlement_flag,categorical_string,string,0.0,1345310
issue_d_dt,datetime,datetime64[ns],0.0,1345310
earliest_cr_line_dt,datetime,datetime64[ns],0.0,1345310
last_pymnt_d_dt,datetime,datetime64[ns],0.1719,1342997
last_credit_pull_d_dt,datetime,datetime64[ns],0.0041,1345255
