column,recommendation
id,exclude_identifier_or_target
member_id,exclude_identifier_or_target
loan_amnt,candidate_application_time_feature
funded_amnt,review_timing_or_compliance_before_use
funded_amnt_inv,review_timing_or_compliance_before_use
term,candidate_application_time_feature
int_rate,candidate_application_time_feature
installment,candidate_application_time_feature
grade,candidate_application_time_feature
sub_grade,candidate_application_time_feature
emp_title,review_timing_or_compliance_before_use
emp_length,candidate_application_time_feature
home_ownership,candidate_application_time_feature
annual_inc,candidate_application_time_feature
verification_status,candidate_application_time_feature
issue_d,candidate_application_time_feature
loan_status,exclude_identifier_or_target
pymnt_plan,exclude_clear_post_origination_leakage
url,review_timing_or_compliance_before_use
desc,review_timing_or_compliance_before_use
purpose,candidate_application_time_feature
title,review_timing_or_compliance_before_use
zip_code,review_timing_or_compliance_before_use
addr_state,review_timing_or_compliance_before_use
dti,candidate_application_time_feature
delinq_2yrs,candidate_application_time_feature
earliest_cr_line,candidate_application_time_feature
fico_range_low,candidate_application_time_feature
fico_range_high,candidate_application_time_feature
inq_last_6mths,candidate_application_time_feature
mths_since_last_delinq,candidate_application_time_feature
mths_since_last_record,candidate_application_time_feature
open_acc,candidate_application_time_feature
pub_rec,candidate_application_time_feature
revol_bal,candidate_application_time_feature
revol_util,candidate_application_time_feature
total_acc,candidate_application_time_feature
initial_list_status,review_timing_or_compliance_before_use
out_prncp,exclude_clear_post_origination_leakage
out_prncp_inv,exclude_clear_post_origination_leakage
total_pymnt,exclude_clear_post_origination_leakage
total_pymnt_inv,exclude_clear_post_origination_leakage
total_rec_prncp,exclude_clear_post_origination_leakage
total_rec_int,exclude_clear_post_origination_leakage
total_rec_late_fee,exclude_clear_post_origination_leakage
recoveries,exclude_clear_post_origination_leakage
collection_recovery_fee,exclude_clear_post_origination_leakage
last_pymnt_d,exclude_clear_post_origination_leakage
last_pymnt_amnt,exclude_clear_post_origination_leakage
next_pymnt_d,exclude_clear_post_origination_leakage
last_credit_pull_d,exclude_clear_post_origination_leakage
last_fico_range_high,exclude_clear_post_origination_leakage
last_fico_range_low,exclude_clear_post_origination_leakage
collections_12_mths_ex_med,candidate_application_time_feature
mths_since_last_major_derog,candidate_application_time_feature
policy_code,review_timing_or_compliance_before_use
application_type,candidate_application_time_feature
annual_inc_joint,candidate_application_time_feature
dti_joint,candidate_application_time_feature
verification_status_joint,candidate_application_time_feature
acc_now_delinq,candidate_application_time_feature
tot_coll_amt,candidate_application_time_feature
tot_cur_bal,candidate_application_time_feature
open_acc_6m,candidate_application_time_feature
open_act_il,candidate_application_time_feature
open_il_12m,candidate_application_time_feature
open_il_24m,candidate_application_time_feature
mths_since_rcnt_il,candidate_application_time_feature
total_bal_il,candidate_application_time_feature
il_util,candidate_application_time_feature
open_rv_12m,candidate_application_time_feature
open_rv_24m,candidate_application_time_feature
max_bal_bc,candidate_application_time_feature
all_util,candidate_application_time_feature
total_rev_hi_lim,candidate_application_time_feature
inq_fi,candidate_application_time_feature
total_cu_tl,candidate_application_time_feature
inq_last_12m,candidate_application_time_feature
acc_open_past_24mths,candidate_application_time_feature
avg_cur_bal,candidate_application_time_feature
bc_open_to_buy,candidate_application_time_feature
bc_util,candidate_application_time_feature
chargeoff_within_12_mths,candidate_application_time_feature
delinq_amnt,candidate_application_time_feature
mo_sin_old_il_acct,candidate_application_time_feature
mo_sin_old_rev_tl_op,candidate_application_time_feature
mo_sin_rcnt_rev_tl_op,candidate_application_time_feature
mo_sin_rcnt_tl,candidate_application_time_feature
mort_acc,candidate_application_time_feature
mths_since_recent_bc,candidate_application_time_feature
mths_since_recent_bc_dlq,candidate_application_time_feature
mths_since_recent_inq,candidate_application_time_feature
mths_since_recent_revol_delinq,candidate_application_time_feature
num_accts_ever_120_pd,candidate_application_time_feature
num_actv_bc_tl,candidate_application_time_feature
num_actv_rev_tl,candidate_application_time_feature
num_bc_sats,candidate_application_time_feature
num_bc_tl,candidate_application_time_feature
num_il_tl,candidate_application_time_feature
num_op_rev_tl,candidate_application_time_feature
num_rev_accts,candidate_application_time_feature
num_rev_tl_bal_gt_0,candidate_application_time_feature
num_sats,candidate_application_time_feature
num_tl_120dpd_2m,candidate_application_time_feature
num_tl_30dpd,candidate_application_time_feature
num_tl_90g_dpd_24m,candidate_application_time_feature
num_tl_op_past_12m,candidate_application_time_feature
