column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_pct
loan_amnt,190149.0,14661.940241600008,8682.459217383075,1000.0,1700.0,3500.0,8000.0,12500.0,20000.0,33000.0,35000.0,40000.0,0.0
int_rate_clean,190149.0,12.506111786020437,4.50937048985081,5.31,5.32,6.24,9.17,12.29,15.31,20.0,25.81,30.99,0.0
installment,190149.0,439.14935713572,257.2946502065138,30.12,56.69,115.31,251.4,377.04,582.75,950.6320000000004,1196.05,1607.8,0.0
annual_inc,190149.0,76870.67160926432,82743.19545211435,0.0,18000.0,28000.0,45550.0,65000.0,90500.0,160000.0,260000.0,9573072.0,0.0
dti,190109.0,18.960540532010587,10.405255948218858,0.0,2.12,5.4,12.28,18.27,25.08,34.24,38.68,999.0,0.02
fico_mean,190149.0,696.4550115961694,31.135703017963902,662.0,662.0,662.0,672.0,687.0,712.0,762.0,802.0,847.5,0.0
emp_length_years,178457.0,5.972564819536359,3.7158342417473453,0.0,0.0,0.0,2.0,6.0,10.0,10.0,10.0,10.0,6.15
credit_history_years,190149.0,16.58540743989271,7.6282393887105915,3.077344284736482,3.838466803559206,6.420260095824777,11.411362080766597,15.080082135523615,20.418891170431213,31.249828884325805,40.41889117043121,65.91375770020534,0.0
open_acc,190149.0,11.86207132301511,5.664929048778438,1.0,3.0,5.0,8.0,11.0,15.0,23.0,30.0,81.0,0.0
revol_bal,190149.0,16896.456499902706,24177.26684070631,0.0,279.48,1843.3999999999996,6053.0,11274.0,20224.0,45873.0,101572.79999999984,2904836.0,0.0
revol_util_clean,190054.0,51.88925884222378,24.171442985934252,0.0,1.8,11.6,33.8,52.0,70.2,91.8,98.7,193.0,0.05
total_acc,190149.0,25.226496063613272,12.160346236519118,2.0,6.0,9.0,16.0,23.0,32.0,48.0,61.0,169.0,0.0
mort_acc,190149.0,1.6381416678499492,1.9558259474539876,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,47.0,0.0
bc_util,188147.0,60.08819752640223,28.121827741748746,0.0,0.0,9.4,38.6,63.0,84.8,98.2,101.0,243.8,1.05
total_rev_hi_lim,190149.0,33459.616116834695,41196.34810695646,0.0,2800.0,6000.0,14100.0,24300.0,41300.0,88800.0,164208.31999999983,9999999.0,0.0
tot_cur_bal,190149.0,139262.03606645315,156771.34689462383,0.0,3447.96,9001.4,29931.0,77490.0,206555.0,431982.80000000016,675598.5199999994,4447397.0,0.0
