column,missing_count,missing_pct,dtype,non_null
member_id,190149,100.0,float64,0
dti_joint,187960,98.85,float64,2189
annual_inc_joint,187960,98.85,float64,2189
verification_status_joint,187969,98.85,string,2180
il_util,158120,83.16,float64,32029
mths_since_last_record,155550,81.8,float64,34599
mths_since_rcnt_il,154057,81.02,float64,36092
total_bal_il,153028,80.48,float64,37121
open_acc_6m,153028,80.48,float64,37121
open_act_il,153028,80.48,float64,37121
open_il_12m,153028,80.48,float64,37121
open_il_24m,153028,80.48,float64,37121
open_rv_24m,153028,80.48,float64,37121
max_bal_bc,153028,80.48,float64,37121
all_util,153029,80.48,float64,37120
inq_fi,153028,80.48,float64,37121
total_cu_tl,153028,80.48,float64,37121
inq_last_12m,153028,80.48,float64,37121
open_rv_12m,153028,80.48,float64,37121
mths_since_recent_bc_dlq,141245,74.28,float64,48904
mths_since_last_major_derog,134062,70.5,float64,56087
mths_since_recent_revol_delinq,121835,64.07,float64,68314
mths_since_last_delinq,92116,48.44,float64,98033
mths_since_recent_inq,19247,10.12,float64,170902
emp_length,11692,6.15,string,178457
emp_length_years,11692,6.15,Float64,178457
num_tl_120dpd_2m,9530,5.01,float64,180619
mo_sin_old_il_acct,5571,2.93,float64,184578
percent_bc_gt_75,2018,1.06,float64,188131
bc_util,2002,1.05,float64,188147
bc_open_to_buy,1883,0.99,float64,188266
mths_since_recent_bc,1803,0.95,float64,188346
target_bad,697,0.37,float64,189452
last_pymnt_d_dt,213,0.11,datetime64[us],189936
last_pymnt_d,213,0.11,str,189936
revol_util,95,0.05,float64,190054
revol_util_clean,95,0.05,float64,190054
dti,40,0.02,float64,190109
pub_rec_bankruptcies,0,0.0,float64,190149
int_rate_clean,0,0.0,float64,190149
term_months,0,0.0,Int16,190149
fico_mean,0,0.0,float64,190149
issue_d_dt,0,0.0,datetime64[us],190149
earliest_cr_line_dt,0,0.0,datetime64[us],190149
issue_month,0,0.0,string,190149
last_credit_pull_d_dt,3,0.0,datetime64[us],190146
issue_year,0,0.0,Int16,190149
issue_quarter,0,0.0,string,190149
credit_history_years,0,0.0,float64,190149
mort_acc,0,0.0,float64,190149
mo_sin_rcnt_tl,0,0.0,float64,190149
mo_sin_rcnt_rev_tl_op,0,0.0,float64,190149
debt_settlement_flag,0,0.0,string,190149
hardship_flag,0,0.0,string,190149
disbursement_method,0,0.0,string,190149
num_op_rev_tl,0,0.0,float64,190149
pct_tl_nvr_dlq,0,0.0,float64,190149
num_tl_op_past_12m,0,0.0,float64,190149
num_tl_90g_dpd_24m,0,0.0,float64,190149
num_tl_30dpd,0,0.0,float64,190149
tax_liens,0,0.0,float64,190149
num_sats,0,0.0,float64,190149
mo_sin_old_rev_tl_op,0,0.0,float64,190149
num_rev_accts,0,0.0,float64,190149
num_il_tl,0,0.0,float64,190149
num_accts_ever_120_pd,0,0.0,float64,190149
num_bc_tl,0,0.0,float64,190149
num_bc_sats,0,0.0,float64,190149
tot_hi_cred_lim,0,0.0,float64,190149
num_actv_rev_tl,0,0.0,float64,190149
num_actv_bc_tl,0,0.0,float64,190149
total_bal_ex_mort,0,0.0,float64,190149
total_bc_limit,0,0.0,float64,190149
total_il_high_credit_limit,0,0.0,float64,190149
num_rev_tl_bal_gt_0,0,0.0,float64,190149
id,0,0.0,object,190149
delinq_amnt,0,0.0,float64,190149
loan_status,0,0.0,string,190149
inq_last_6mths,0,0.0,float64,190149
fico_range_high,0,0.0,float64,190149
fico_range_low,0,0.0,float64,190149
earliest_cr_line,0,0.0,str,190149
delinq_2yrs,0,0.0,float64,190149
addr_state,0,0.0,string,190149
zip_code,0,0.0,string,190149
purpose,0,0.0,string,190149
url,0,0.0,str,190149
issue_d,0,0.0,str,190149
pub_rec,0,0.0,float64,190149
verification_status,0,0.0,string,190149
annual_inc,0,0.0,float64,190149
home_ownership,0,0.0,string,190149
sub_grade,0,0.0,string,190149
grade,0,0.0,string,190149
installment,0,0.0,float64,190149
int_rate,0,0.0,float64,190149
term,0,0.0,str,190149
loan_amnt,0,0.0,float64,190149
open_acc,0,0.0,float64,190149
revol_bal,0,0.0,float64,190149
chargeoff_within_12_mths,0,0.0,float64,190149
last_fico_range_low,0,0.0,float64,190149
avg_cur_bal,0,0.0,float64,190149
acc_open_past_24mths,0,0.0,float64,190149
total_rev_hi_lim,0,0.0,float64,190149
tot_cur_bal,0,0.0,float64,190149
tot_coll_amt,0,0.0,float64,190149
acc_now_delinq,0,0.0,float64,190149
application_type,0,0.0,string,190149
policy_code,0,0.0,float64,190149
collections_12_mths_ex_med,0,0.0,float64,190149
last_fico_range_high,0,0.0,float64,190149
total_acc,0,0.0,float64,190149
last_credit_pull_d,3,0.0,str,190146
last_pymnt_amnt,0,0.0,float64,190149
collection_recovery_fee,0,0.0,float64,190149
recoveries,0,0.0,float64,190149
total_rec_int,0,0.0,float64,190149
total_rec_prncp,0,0.0,float64,190149
total_pymnt,0,0.0,float64,190149
out_prncp,0,0.0,float64,190149
initial_list_status,0,0.0,string,190149
target_definition,0,0.0,str,190149
