addr_state,n,bad_rate,bad_count
AR,1449,0.2836,411
NE,678,0.2802,190
OK,1709,0.2686,459
LA,2241,0.2677,600
MS,1158,0.2668,309
AL,2334,0.2588,604
NY,15256,0.2383,3635
MO,2968,0.2352,698
PA,6434,0.2344,1508
NV,2831,0.2314,655
FL,13479,0.2289,3085
KY,1865,0.2279,425
NJ,6710,0.2273,1525
OH,6309,0.2271,1433
NC,5308,0.227,1205
TN,3112,0.2265,705
NM,1082,0.2255,244
IN,3270,0.2254,737
MD,4484,0.2203,988
TX,15748,0.2153,3391
MN,3394,0.2121,720
CA,26647,0.2094,5579
VA,5104,0.2087,1065
HI,919,0.2078,191
MI,5113,0.2069,1058
DE,581,0.2065,120
AZ,4487,0.2059,924
GA,6296,0.2046,1288
MA,4328,0.204,883
WI,2536,0.1991,505
RI,800,0.1975,158
UT,1396,0.197,275
CT,2736,0.1955,535
IL,7458,0.1947,1452
KS,1590,0.1862,296
MT,534,0.1854,99
WV,799,0.1752,140
WA,4025,0.1672,673
SC,2194,0.1664,365
CO,4185,0.1663,696
NH,921,0.1542,142
OR,2265,0.1422,322
