sub_grade,n,bad_rate,bad_count
F4,598,0.5652,338
F3,732,0.5273,386
F2,1002,0.516,517
E5,1915,0.4825,924
F1,1348,0.4763,642
E4,2290,0.459,1051
E3,2918,0.4435,1294
E2,3209,0.4279,1373
E1,3556,0.4024,1431
D5,4182,0.3824,1599
D4,4719,0.3727,1759
D3,5117,0.3397,1738
D2,5584,0.3367,1880
D1,7016,0.2986,2095
C5,8620,0.2889,2490
C4,10583,0.2778,2940
C3,10843,0.2458,2665
C2,11317,0.223,2524
C1,12090,0.2021,2443
B5,11232,0.1648,1851
B4,11216,0.1631,1829
B3,11273,0.1435,1618
B2,10413,0.1209,1259
B1,10312,0.1044,1077
A5,10363,0.0835,865
A4,7604,0.0715,544
A3,5496,0.0548,301
A2,5674,0.0435,247
A1,6642,0.0345,229
