feature,missing_count,missing_pct,max_observed_slice_gap_pct_points,application_type_gap_detail,loan_status_gap_detail,issue_year_gap_detail,grade_gap_detail,target_bad_rate_gap_pct_points,target_gap_detail,mechanism_screen,structural_reason,mnar_note,recommended_action
bc_util,2002,1.05,2.9,application_type: Joint App 2.19% vs Individual 1.04%,loan_status: Late (31-120 days) 1.20% vs Fully Paid 1.04%,issue_year: 2017.0 1.53% vs 2015.0 1.01%,grade: G 3.32% vs A 0.43%,1.04,bad rate missing 22.57% vs observed 21.53%,consistent_with_MCAR_screen,,MNAR not identifiable from observed data alone.,Simple imputation may be acceptable; validate during modeling.
annual_inc,0,0.0,0.0,application_type: Individual 0.00% vs Individual 0.00%,loan_status: Charged Off 0.00% vs Charged Off 0.00%,issue_year: 2015.0 0.00% vs 2015.0 0.00%,grade: A 0.00% vs A 0.00%,,no missing completed rows,no_missingness_observed,,MNAR not identifiable from observed data alone.,No missingness action needed in this working sample.
fico_mean,0,0.0,0.0,application_type: Individual 0.00% vs Individual 0.00%,loan_status: Charged Off 0.00% vs Charged Off 0.00%,issue_year: 2015.0 0.00% vs 2015.0 0.00%,grade: A 0.00% vs A 0.00%,,no missing completed rows,no_missingness_observed,,MNAR not identifiable from observed data alone.,No missingness action needed in this working sample.
mort_acc,0,0.0,0.0,application_type: Individual 0.00% vs Individual 0.00%,loan_status: Charged Off 0.00% vs Charged Off 0.00%,issue_year: 2015.0 0.00% vs 2015.0 0.00%,grade: A 0.00% vs A 0.00%,,no missing completed rows,no_missingness_observed,,MNAR not identifiable from observed data alone.,No missingness action needed in this working sample.
mths_since_last_record,155550,81.8,12.37,application_type: Joint App 83.14% vs Individual 81.79%,loan_status: In Grace Period 85.22% vs Charged Off 79.15%,issue_year: 2018.0 84.40% vs 2016.0 80.01%,grade: A 90.09% vs G 77.72%,-3.54,bad rate missing 20.89% vs observed 24.43%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
mths_since_recent_bc_dlq,141245,74.28,8.48,application_type: Joint App 79.40% vs Individual 74.22%,loan_status: In Grace Period 74.75% vs Charged Off 72.95%,issue_year: 2018.0 79.02% vs 2016.0 73.74%,grade: A 80.00% vs G 71.52%,-1.44,bad rate missing 21.17% vs observed 22.61%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
mths_since_last_delinq,92116,48.44,14.34,application_type: Joint App 50.21% vs Individual 48.42%,loan_status: Fully Paid 48.97% vs Late (31-120 days) 45.55%,issue_year: 2018.0 55.17% vs 2016.0 47.30%,grade: A 57.47% vs G 43.13%,-1.62,bad rate missing 20.71% vs observed 22.32%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
emp_length_years,11692,6.15,10.42,application_type: Joint App 16.45% vs Individual 6.03%,loan_status: Charged Off 7.76% vs In Grace Period 4.59%,issue_year: 2018.0 9.46% vs 2015.0 5.93%,grade: D 7.18% vs F 5.15%,5.95,bad rate missing 27.12% vs observed 21.17%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
revol_util_clean,95,0.05,0.16,application_type: Joint App 0.09% vs Individual 0.05%,loan_status: Charged Off 0.06% vs In Grace Period 0.00%,issue_year: 2018.0 0.08% vs 2015.0 0.05%,grade: G 0.18% vs A 0.02%,4.78,bad rate missing 26.32% vs observed 21.54%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
dti,40,0.02,1.83,application_type: Joint App 1.83% vs Individual 0.00%,loan_status: Late (31-120 days) 0.06% vs In Grace Period 0.00%,issue_year: 2018.0 0.42% vs 2015.0 0.00%,grade: D 0.05% vs G 0.00%,8.46,bad rate missing 30.00% vs observed 21.54%,potential_MAR_observed_pattern,,MNAR not identifiable from observed data alone.,Preserve missingness indicator later and validate imputation/model impact.
annual_inc_joint,187960,98.85,100.0,application_type: Individual 100.00% vs Joint App 0.00%,loan_status: Fully Paid 99.05% vs In Grace Period 88.67%,issue_year: 2015.0 99.86% vs 2018.0 85.90%,grade: A 99.23% vs G 96.86%,-11.38,bad rate missing 21.41% vs observed 32.80%,structural_missingness,Joint-applicant field; missingness is expected for Individual applications.,MNAR not identifiable from observed data alone.,Handle conditionally by application_type or exclude from first-pass model.
dti_joint,187960,98.85,100.0,application_type: Individual 100.00% vs Joint App 0.00%,loan_status: Fully Paid 99.05% vs In Grace Period 88.67%,issue_year: 2015.0 99.86% vs 2018.0 85.90%,grade: A 99.23% vs G 96.86%,-11.38,bad rate missing 21.41% vs observed 32.80%,structural_missingness,Joint-applicant field; missingness is expected for Individual applications.,MNAR not identifiable from observed data alone.,Handle conditionally by application_type or exclude from first-pass model.
