feature,mean_abs_shap,mean_signed_shap
int_rate_clean,0.3927641,-0.034728337
term_months,0.24573132,-0.06359587
acc_open_past_24mths,0.1642273,0.006756559
dti,0.115909666,-0.013004678
fico_mean,0.09757292,-0.010770736
annual_inc,0.08218112,-0.017043581
loan_amnt,0.07887484,-0.01790056
avg_cur_bal,0.06540732,-0.005475616
mort_acc,0.046491936,0.0016917341
total_acc,0.04317616,0.0039962754
installment,0.04296437,-0.0057681864
home_ownership_RENT,0.04103026,-0.004505201
emp_length_years_is_missing,0.04011351,0.00024960973
total_bc_limit,0.0309597,0.00028452536
inq_last_6mths,0.030303812,-0.0051239193
revol_bal,0.02660108,0.007460717
home_ownership_MORTGAGE,0.025960382,-0.0014295765
revol_util_clean,0.025215946,-0.006968496
verification_status_Source Verified,0.023623565,0.0024910169
total_il_high_credit_limit,0.020148003,-0.0019371046
bc_util,0.018896522,0.0022457915
mths_since_last_delinq,0.018720372,-0.00092061405
open_acc,0.017437542,-0.00030202608
credit_history_years,0.015606082,0.0032457702
bc_open_to_buy,0.013764412,-0.0026093272
tot_cur_bal,0.013030253,-0.0017671335
verification_status_Verified,0.011837793,0.0024744563
emp_length_years,0.01169288,0.0011648082
delinq_2yrs,0.010163037,0.00013308799
verification_status_Not Verified,0.009531524,0.001949955
purpose_small_business,0.008253424,-0.0009779911
mths_since_last_record,0.007819026,0.0014921288
tot_coll_amt,0.004953387,0.0009426035
purpose_credit_card,0.0045632976,0.00039595057
total_bal_ex_mort,0.003570951,0.0003995209
collections_12_mths_ex_med,0.0029405255,0.00027484295
mths_since_last_record_is_missing,0.0023868107,0.0006335749
purpose_debt_consolidation,0.0017693249,0.0002898647
home_ownership_OWN,0.0016659411,0.00014653409
purpose_medical,0.0011806428,4.369389e-05
mths_since_last_delinq_is_missing,0.0011554211,-0.00010243023
pub_rec_bankruptcies,0.0010553494,0.00011826699
pub_rec,0.0009994353,0.0003540631
purpose_moving,0.0006767076,-5.3721647e-05
purpose_vacation,0.0006020303,0.00021815297
purpose_home_improvement,0.00057410734,0.00010584659
purpose_major_purchase,0.0004384053,9.38635e-05
purpose_other,0.00032267443,4.3630294e-05
purpose_wedding,0.0002804861,0.0002804861
tax_liens,0.00012427678,3.2904754e-05
acc_now_delinq,0.00011930671,-7.6281062e-06
application_type_Individual,0.0,0.0
purpose_renewable_energy,0.0,0.0
home_ownership_OTHER,0.0,0.0
home_ownership_NONE,0.0,0.0
purpose_house,0.0,0.0
purpose_educational,0.0,0.0
home_ownership_ANY,0.0,0.0
purpose_car,0.0,0.0
application_type_Joint App,0.0,0.0
