feature,included_in_no_grade_subgrade
mths_since_last_delinq_is_missing,True
emp_length_years_is_missing,True
loan_amnt,True
term_months,True
int_rate_clean,True
installment,True
emp_length_years,True
annual_inc,True
dti,True
delinq_2yrs,True
fico_mean,True
inq_last_6mths,True
mths_since_last_delinq,True
open_acc,True
pub_rec,True
revol_bal,True
revol_util_clean,True
total_acc,True
credit_history_years,True
collections_12_mths_ex_med,True
acc_now_delinq,True
tot_coll_amt,True
tot_cur_bal,True
acc_open_past_24mths,True
avg_cur_bal,True
bc_open_to_buy,True
bc_util,True
mort_acc,True
pub_rec_bankruptcies,True
tax_liens,True
total_bal_ex_mort,True
total_bc_limit,True
total_il_high_credit_limit,True
grade_A,False
grade_B,False
grade_C,False
grade_D,False
grade_E,False
grade_F,False
grade_G,False
sub_grade_A1,False
sub_grade_A2,False
sub_grade_A3,False
sub_grade_A4,False
sub_grade_A5,False
sub_grade_B1,False
sub_grade_B2,False
sub_grade_B3,False
sub_grade_B4,False
sub_grade_B5,False
sub_grade_C1,False
sub_grade_C2,False
sub_grade_C3,False
sub_grade_C4,False
sub_grade_C5,False
sub_grade_D1,False
sub_grade_D2,False
sub_grade_D3,False
sub_grade_D4,False
sub_grade_D5,False
sub_grade_E1,False
sub_grade_E2,False
sub_grade_E3,False
sub_grade_E4,False
sub_grade_E5,False
sub_grade_F1,False
sub_grade_F2,False
sub_grade_F3,False
sub_grade_F4,False
sub_grade_F5,False
sub_grade_G1,False
sub_grade_G2,False
sub_grade_G3,False
sub_grade_G4,False
sub_grade_G5,False
home_ownership_ANY,True
home_ownership_MORTGAGE,True
home_ownership_NONE,True
home_ownership_OTHER,True
home_ownership_OWN,True
home_ownership_RENT,True
verification_status_Not Verified,True
verification_status_Source Verified,True
verification_status_Verified,True
purpose_car,True
purpose_credit_card,True
purpose_debt_consolidation,True
purpose_educational,True
purpose_home_improvement,True
purpose_house,True
purpose_major_purchase,True
purpose_medical,True
purpose_moving,True
purpose_other,True
purpose_renewable_energy,True
purpose_small_business,True
purpose_vacation,True
purpose_wedding,True
application_type_Individual,True
application_type_Joint App,True
