feature_set,feature,role,source
baseline,loan_amnt,numeric_scaled,loan_amnt
baseline,term_months,numeric_scaled,term_months
baseline,int_rate_clean,numeric_scaled,int_rate_clean
baseline,installment,numeric_scaled,installment
baseline,emp_length_years,numeric_scaled,emp_length_years
baseline,annual_inc,numeric_scaled,annual_inc
baseline,dti,numeric_scaled,dti
baseline,delinq_2yrs,numeric_scaled,delinq_2yrs
baseline,fico_mean,numeric_scaled,fico_mean
baseline,inq_last_6mths,numeric_scaled,inq_last_6mths
baseline,mths_since_last_delinq,numeric_scaled,mths_since_last_delinq
baseline,open_acc,numeric_scaled,open_acc
baseline,pub_rec,numeric_scaled,pub_rec
baseline,revol_bal,numeric_scaled,revol_bal
baseline,revol_util_clean,numeric_scaled,revol_util_clean
baseline,total_acc,numeric_scaled,total_acc
baseline,credit_history_years,numeric_scaled,credit_history_years
baseline,collections_12_mths_ex_med,numeric_scaled,collections_12_mths_ex_med
baseline,acc_now_delinq,numeric_scaled,acc_now_delinq
baseline,tot_coll_amt,numeric_scaled,tot_coll_amt
baseline,tot_cur_bal,numeric_scaled,tot_cur_bal
baseline,acc_open_past_24mths,numeric_scaled,acc_open_past_24mths
baseline,avg_cur_bal,numeric_scaled,avg_cur_bal
baseline,bc_open_to_buy,numeric_scaled,bc_open_to_buy
baseline,bc_util,numeric_scaled,bc_util
baseline,mort_acc,numeric_scaled,mort_acc
baseline,pub_rec_bankruptcies,numeric_scaled,pub_rec_bankruptcies
baseline,tax_liens,numeric_scaled,tax_liens
baseline,total_bal_ex_mort,numeric_scaled,total_bal_ex_mort
baseline,total_bc_limit,numeric_scaled,total_bc_limit
baseline,total_il_high_credit_limit,numeric_scaled,total_il_high_credit_limit
baseline,home_ownership,categorical_one_hot_source,home_ownership
baseline,verification_status,categorical_one_hot_source,verification_status
baseline,purpose,categorical_one_hot_source,purpose
baseline,application_type,categorical_one_hot_source,application_type
baseline,mths_since_last_delinq_is_missing,missing_indicator,mths_since_last_delinq
baseline,emp_length_years_is_missing,missing_indicator,emp_length_years
