feature_set,feature,role,source
missingness_challenger,loan_amnt,numeric_scaled,loan_amnt
missingness_challenger,term_months,numeric_scaled,term_months
missingness_challenger,int_rate_clean,numeric_scaled,int_rate_clean
missingness_challenger,installment,numeric_scaled,installment
missingness_challenger,emp_length_years,numeric_scaled,emp_length_years
missingness_challenger,annual_inc,numeric_scaled,annual_inc
missingness_challenger,dti,numeric_scaled,dti
missingness_challenger,delinq_2yrs,numeric_scaled,delinq_2yrs
missingness_challenger,fico_mean,numeric_scaled,fico_mean
missingness_challenger,inq_last_6mths,numeric_scaled,inq_last_6mths
missingness_challenger,mths_since_last_delinq,numeric_scaled,mths_since_last_delinq
missingness_challenger,mths_since_last_record,numeric_scaled,mths_since_last_record
missingness_challenger,open_acc,numeric_scaled,open_acc
missingness_challenger,pub_rec,numeric_scaled,pub_rec
missingness_challenger,revol_bal,numeric_scaled,revol_bal
missingness_challenger,revol_util_clean,numeric_scaled,revol_util_clean
missingness_challenger,total_acc,numeric_scaled,total_acc
missingness_challenger,credit_history_years,numeric_scaled,credit_history_years
missingness_challenger,collections_12_mths_ex_med,numeric_scaled,collections_12_mths_ex_med
missingness_challenger,acc_now_delinq,numeric_scaled,acc_now_delinq
missingness_challenger,tot_coll_amt,numeric_scaled,tot_coll_amt
missingness_challenger,tot_cur_bal,numeric_scaled,tot_cur_bal
missingness_challenger,acc_open_past_24mths,numeric_scaled,acc_open_past_24mths
missingness_challenger,avg_cur_bal,numeric_scaled,avg_cur_bal
missingness_challenger,bc_open_to_buy,numeric_scaled,bc_open_to_buy
missingness_challenger,bc_util,numeric_scaled,bc_util
missingness_challenger,mort_acc,numeric_scaled,mort_acc
missingness_challenger,pub_rec_bankruptcies,numeric_scaled,pub_rec_bankruptcies
missingness_challenger,tax_liens,numeric_scaled,tax_liens
missingness_challenger,total_bal_ex_mort,numeric_scaled,total_bal_ex_mort
missingness_challenger,total_bc_limit,numeric_scaled,total_bc_limit
missingness_challenger,total_il_high_credit_limit,numeric_scaled,total_il_high_credit_limit
missingness_challenger,grade,categorical_one_hot_source,grade
missingness_challenger,sub_grade,categorical_one_hot_source,sub_grade
missingness_challenger,home_ownership,categorical_one_hot_source,home_ownership
missingness_challenger,verification_status,categorical_one_hot_source,verification_status
missingness_challenger,purpose,categorical_one_hot_source,purpose
missingness_challenger,application_type,categorical_one_hot_source,application_type
missingness_challenger,mths_since_last_delinq_is_missing,missing_indicator,mths_since_last_delinq
missingness_challenger,emp_length_years_is_missing,missing_indicator,emp_length_years
missingness_challenger,mths_since_last_record_is_missing,missing_indicator,mths_since_last_record
