model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
catboost,catboost_03_no_grade_subgrade,validation,1.0,1870,1202,0.642781,0.02606,0.246763,2.604847
catboost,catboost_03_no_grade_subgrade,validation,2.0,3739,2259,0.604172,0.048976,0.246763,2.448388
catboost,catboost_03_no_grade_subgrade,validation,5.0,9346,5143,0.550289,0.111501,0.246763,2.230027
catboost,catboost_03_no_grade_subgrade,validation,10.0,18692,9460,0.506099,0.205095,0.246763,2.050949
catboost,catboost_03_no_grade_subgrade,validation,15.0,28038,13202,0.470861,0.286222,0.246763,1.908148
catboost,catboost_03_no_grade_subgrade,validation,20.0,37384,16714,0.44709,0.362363,0.246763,1.811816
catboost,catboost_03_no_grade_subgrade,validation,25.0,46730,19915,0.426172,0.431762,0.246763,1.727046
catboost,catboost_03_no_grade_subgrade,validation,30.0,56076,22905,0.408464,0.496585,0.246763,1.655285
catboost,catboost_03_no_grade_subgrade,test,1.0,1958,1116,0.569969,0.027108,0.210315,2.710071
catboost,catboost_03_no_grade_subgrade,test,2.0,3915,2129,0.543806,0.051714,0.210315,2.58567
catboost,catboost_03_no_grade_subgrade,test,5.0,9788,4784,0.488762,0.116204,0.210315,2.323948
catboost,catboost_03_no_grade_subgrade,test,10.0,19575,8766,0.447816,0.212927,0.210315,2.129261
catboost,catboost_03_no_grade_subgrade,test,15.0,29363,12270,0.417873,0.29804,0.210315,1.986888
catboost,catboost_03_no_grade_subgrade,test,20.0,39150,15519,0.396398,0.376958,0.210315,1.884782
catboost,catboost_03_no_grade_subgrade,test,25.0,48938,18447,0.376946,0.44808,0.210315,1.792292
catboost,catboost_03_no_grade_subgrade,test,30.0,58725,21239,0.361669,0.515898,0.210315,1.719651
