model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
catboost,catboost_04,validation,1.0,1870,1197,0.640107,0.025951,0.246763,2.594012
catboost,catboost_04,validation,2.0,3739,2273,0.607917,0.049279,0.246763,2.463561
catboost,catboost_04,validation,5.0,9346,5175,0.553713,0.112195,0.246763,2.243902
catboost,catboost_04,validation,10.0,18692,9446,0.50535,0.204791,0.246763,2.047913
catboost,catboost_04,validation,15.0,28038,13226,0.471717,0.286743,0.246763,1.911617
catboost,catboost_04,validation,20.0,37384,16716,0.447143,0.362407,0.246763,1.812033
catboost,catboost_04,validation,25.0,46730,19908,0.426022,0.43161,0.246763,1.726439
catboost,catboost_04,validation,30.0,56076,22912,0.408588,0.496737,0.246763,1.65579
catboost,catboost_04,test,1.0,1958,1117,0.57048,0.027132,0.210315,2.7125
catboost,catboost_04,test,2.0,3915,2117,0.540741,0.051422,0.210315,2.571096
catboost,catboost_04,test,5.0,9788,4802,0.490601,0.116641,0.210315,2.332692
catboost,catboost_04,test,10.0,19575,8755,0.447254,0.21266,0.210315,2.126589
catboost,catboost_04,test,15.0,29363,12253,0.417294,0.297627,0.210315,1.984135
catboost,catboost_04,test,20.0,39150,15507,0.396092,0.376667,0.210315,1.883325
catboost,catboost_04,test,25.0,48938,18457,0.377151,0.448323,0.210315,1.793264
catboost,catboost_04,test,30.0,58725,21224,0.361413,0.515534,0.210315,1.718436
