model_family,model,model_dataset_label,calibration_method,split,probability_bin,rows,bad_count,predicted_probability_mean,observed_bad_rate,abs_calibration_error,weighted_abs_calibration_error
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(-0.001, 0.1]",3203,60,0.07836559414863586,0.018732438339057134,0.05963315580957873,191.00499805808067
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.1, 0.2]",12554,704,0.15412436425685883,0.05607774414529234,0.09804662011156648,1230.8772688806055
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.2, 0.3]",22691,2404,0.2547796666622162,0.10594508836102419,0.148834578301192,3377.205416232348
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.3, 0.4]",32270,5079,0.3517192304134369,0.15739076541679578,0.1943284649966411,6270.979565441608
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.4, 0.5]",36544,8159,0.4504104256629944,0.22326510507880912,0.22714532058418527,8300.798595428467
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.5, 0.6]",33694,9831,0.5482420921325684,0.29177301596723454,0.2564690761653338,8641.469052314758
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.6, 0.7]",24771,9267,0.6465969085693359,0.3741068184570667,0.2724900901122692,6749.8520221710205
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.7, 0.8]",15429,7206,0.7451571822166443,0.4670425821504958,0.27811460006614847,4291.030164420605
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.8, 0.9]",5719,3378,0.8337633013725281,0.5906627032698024,0.24310059810272566,1390.292320549488
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,validation,"(0.9, 1.0]",45,37,0.9050459265708923,0.8222222222222222,0.08282370434867015,3.727066695690157
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(-0.001, 0.1]",5711,109,0.07818596810102463,0.019085974435300298,0.059099993665724326,337.52006382495165
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.1, 0.2]",18175,895,0.1514635533094406,0.04924346629986245,0.10222008700957816,1857.8500813990831
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.2, 0.3]",24979,2247,0.25302061438560486,0.08995556267264503,0.16306505171295982,4073.2019267380233
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.3, 0.4]",31415,4335,0.35083913803100586,0.13799140537959573,0.21284773265141013,6686.611521244049
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.4, 0.5]",35193,6869,0.45044228434562683,0.19518085983007985,0.255261424515547,8983.415312975645
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.5, 0.6]",33543,8668,0.5483929514884949,0.2584145723399815,0.2899783791485134,9726.744771778584
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.6, 0.7]",25384,8466,0.6469380855560303,0.33351717617396787,0.3134209093820624,7955.8763637542725
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.7, 0.8]",16031,6745,0.744886577129364,0.42074730210217703,0.324139275027187,5196.2767179608345
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.8, 0.9]",5269,2804,0.8332728743553162,0.5321692920857848,0.3011035822695314,1586.5147749781609
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,raw,test,"(0.9, 1.0]",49,31,0.906724214553833,0.6326530612244898,0.2740711533293432,13.429486513137816
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,validation,"(-0.001, 0.1]",23534,1450,0.07615430202706726,0.061612985467833774,0.014541316559233484,342.21534390500085
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,validation,"(0.1, 0.2]",59070,9178,0.14908818821052697,0.155374978838666,0.006286790628139027,371.36072240417235
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,validation,"(0.2, 0.3]",45919,11682,0.24696401242773483,0.254404494871404,0.007440482443669155,341.65951333084394
xgboost,xgboost_05_missingness_challenger,XGBoost | missingness challenger,platt_sigmoid,validation,"(0.3, 0.4]",29709,10207,0.34587010920160977,0.34356592278434145,0.002304186417268317,68.45507427062442
