model_family,candidate,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall,model_label
logistic_regression,logistic_regression_07,"{""C"": 0.5, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,39.346,0.695407,0.412336,0.471801,0.470644,0.355089,0.697691,0.563511,0.447766,0.4,0.508488,Logistic Regression
logistic_regression,logistic_regression_06,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,25.73,0.695409,0.412338,0.471834,0.470642,0.355098,0.697648,0.563545,0.44775,0.4,0.508444,Logistic Regression
logistic_regression,logistic_regression_08,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,39.214,0.695406,0.412333,0.471801,0.470626,0.355074,0.697669,0.563466,0.4478,0.4,0.508575,Logistic Regression
logistic_regression,logistic_regression_04,"{""C"": 0.25, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,28.379,0.695404,0.412331,0.471693,0.470619,0.355021,0.697843,0.563494,0.447783,0.4,0.508531,Logistic Regression
logistic_regression,logistic_regression_05,"{""C"": 0.5, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,25.35,0.695403,0.412328,0.471728,0.470616,0.35504,0.697756,0.563492,0.447777,0.400003,0.508509,Logistic Regression
logistic_regression,logistic_regression_03,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,25.377,0.693009,0.409159,0.168949,0.468967,0.349857,0.711046,0.23527,0.443513,0.4,0.497648,Logistic Regression
logistic_regression,logistic_regression_01,"{""C"": 0.25, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,30.739,0.693011,0.409161,0.168959,0.468966,0.349866,0.711003,0.235309,0.443472,0.400003,0.497539,Logistic Regression
logistic_regression,logistic_regression_02,"{""C"": 0.5, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,25.731,0.69301,0.40916,0.168956,0.468953,0.349846,0.711024,0.235258,0.44353,0.4,0.497691,Logistic Regression
random_forest,random_forest_03,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""n_estimators"": 200}",200000,0.1883,55.434,0.694572,0.415081,0.455266,0.468385,0.359529,0.671783,0.523016,0.447541,0.400003,0.507902,Random Forest
random_forest,random_forest_02,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 60, ""n_estimators"": 160}",200000,0.1883,42.508,0.694018,0.41476,0.464001,0.468336,0.354677,0.689192,0.537794,0.446901,0.400003,0.506255,Random Forest
random_forest,random_forest_01,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 80, ""n_estimators"": 120}",200000,0.1883,26.987,0.692017,0.412257,0.473058,0.466418,0.350054,0.698667,0.548172,0.443616,0.4,0.497908,Random Forest
hist_gradient_boosting,hist_gradient_boosting_04,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 220, ""max_leaf_nodes"": 45}",300000,0.1883,27.427,0.700829,0.4235,0.472937,0.474259,0.359479,0.696715,0.550043,0.458965,0.4,0.53832,HistGradientBoosting
hist_gradient_boosting,hist_gradient_boosting_03,"{""l2_regularization"": 0.01, ""learning_rate"": 0.05, ""max_iter"": 220, ""max_leaf_nodes"": 45}",300000,0.1883,30.853,0.700818,0.42391,0.476819,0.473938,0.361154,0.689149,0.549404,0.459516,0.4,0.539837,HistGradientBoosting
hist_gradient_boosting,hist_gradient_boosting_05,"{""l2_regularization"": 0.01, ""learning_rate"": 0.07, ""max_iter"": 180, ""max_leaf_nodes"": 45}",300000,0.1883,21.432,0.700517,0.423145,0.464876,0.473925,0.354935,0.712932,0.550463,0.458697,0.4,0.537583,HistGradientBoosting
hist_gradient_boosting,hist_gradient_boosting_06,"{""l2_regularization"": 0.01, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",300000,0.1883,34.954,0.700593,0.423355,0.475155,0.473841,0.360086,0.692661,0.550853,0.457541,0.4,0.534417,HistGradientBoosting
hist_gradient_boosting,hist_gradient_boosting_02,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",300000,0.1883,29.135,0.700419,0.423663,0.474785,0.473608,0.358195,0.698753,0.553781,0.45828,0.400003,0.536434,HistGradientBoosting
hist_gradient_boosting,hist_gradient_boosting_01,"{""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 180, ""max_leaf_nodes"": 31}",300000,0.1883,32.734,0.700105,0.422782,0.472049,0.473357,0.356441,0.704412,0.554764,0.457604,0.4,0.534591,HistGradientBoosting
lightgbm,lightgbm_06,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 12, ""min_child_samples"": 120, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,8.321,0.702851,0.42477,0.459101,0.475468,0.35411,0.723382,0.547699,0.461747,0.4,0.546038,LightGBM
lightgbm,lightgbm_05,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 280, ""num_leaves"": 45, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,5.536,0.702729,0.424616,0.479567,0.474982,0.362033,0.690363,0.549134,0.462515,0.400003,0.548184,LightGBM
lightgbm,lightgbm_02,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 45, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,5.758,0.702464,0.424172,0.484876,0.474753,0.365445,0.677355,0.548225,0.462113,0.400003,0.547057,LightGBM
lightgbm,lightgbm_03,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 350, ""num_leaves"": 63, ""reg_lambda"": 3.0, ""subsample"": 0.8}",300000,0.1883,7.159,0.702498,0.424406,0.469875,0.474743,0.3589,0.701008,0.54674,0.462438,0.400003,0.547967,LightGBM
lightgbm,lightgbm_04,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.9}",300000,0.1883,4.33,0.702154,0.424769,0.486482,0.474309,0.364662,0.678244,0.55038,0.461602,0.400003,0.545626,LightGBM
lightgbm,lightgbm_01,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",300000,0.1883,4.681,0.701948,0.424427,0.48371,0.474021,0.362169,0.685832,0.552165,0.46111,0.4,0.54426,LightGBM
xgboost,xgboost_05,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,11.197,0.701999,0.4254,0.470698,0.473896,0.357995,0.70077,0.546067,0.461974,0.400003,0.546667,XGBoost
xgboost,xgboost_04,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.045, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 240, ""reg_alpha"": 0.2, ""reg_lambda"": 3.0, ""subsample"": 0.9}",300000,0.1883,6.986,0.701382,0.424958,0.467468,0.473831,0.355749,0.709247,0.551242,0.459243,0.400003,0.539079,XGBoost
xgboost,xgboost_03,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,8.861,0.700779,0.424033,0.476174,0.473532,0.359344,0.694092,0.551953,0.458644,0.400003,0.537431,XGBoost
xgboost,xgboost_02,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 12, ""n_estimators"": 260, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",300000,0.1883,7.395,0.698801,0.421658,0.468232,0.472314,0.354123,0.708921,0.553383,0.456722,0.400003,0.532184,XGBoost
xgboost,xgboost_01,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,6.193,0.698553,0.421263,0.461678,0.472085,0.350778,0.721648,0.555085,0.455156,0.4,0.527957,XGBoost
xgboost,xgboost_06,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",300000,0.1883,4.474,0.697205,0.419525,0.466265,0.471318,0.352774,0.709854,0.557362,0.452837,0.4,0.521756,XGBoost
catboost,catboost_04,"{""depth"": 5, ""iterations"": 240, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.045, ""subsample"": 0.9}",300000,0.1883,14.051,0.698653,0.420953,0.479729,0.472271,0.359181,0.689301,0.5552,0.453954,0.400003,0.524726,CatBoost
catboost,catboost_05,"{""depth"": 6, ""iterations"": 350, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.025, ""subsample"": 0.8}",300000,0.1883,20.538,0.698944,0.421173,0.476462,0.472234,0.357598,0.695046,0.553503,0.455398,0.4,0.528607,CatBoost
catboost,catboost_02,"{""depth"": 5, ""iterations"": 260, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.035, ""subsample"": 0.85}",300000,0.1883,14.844,0.697712,0.419713,0.477496,0.471979,0.357214,0.695393,0.556704,0.452585,0.400003,0.521084,CatBoost
catboost,catboost_03,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.8}",300000,0.1883,18.367,0.699036,0.421236,0.471091,0.471935,0.354776,0.704629,0.55353,0.455269,0.4,0.52826,CatBoost
catboost,catboost_06,"{""depth"": 4, ""iterations"": 180, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.06, ""subsample"": 0.9}",300000,0.1883,9.586,0.697312,0.419462,0.478333,0.470894,0.35723,0.690645,0.557978,0.45264,0.4,0.521236,CatBoost
catboost,catboost_01,"{""depth"": 4, ""iterations"": 220, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.04, ""subsample"": 0.85}",300000,0.1883,11.692,0.696154,0.417685,0.475947,0.470338,0.355747,0.693832,0.558086,0.450463,0.400003,0.515491,CatBoost
