model_family,split,operating_point,rows,confusion_count_total,reported_precision,calculated_precision,reported_recall,calculated_recall,reported_f1,calculated_f1
logistic_regression,train,best_validation_f1,962641,962641,0.294505,0.294505,0.713552,0.713552,0.41693,0.41693
logistic_regression,train,target_validation_precision,962641,962641,0.34553,0.34553,0.537793,0.537793,0.420738,0.420738
logistic_regression,validation,best_validation_f1,186920,186920,0.355082,0.355082,0.697669,0.697669,0.470633,0.470633
logistic_regression,validation,target_validation_precision,186920,186920,0.400007,0.400007,0.508488,0.508488,0.447771,0.447771
logistic_regression,test,best_validation_f1,195749,195749,0.310541,0.310541,0.70932,0.70932,0.431966,0.431966
logistic_regression,test,target_validation_precision,195749,195749,0.348254,0.348254,0.538026,0.538026,0.422823,0.422823
random_forest,train,best_validation_f1,962641,962641,0.309538,0.309538,0.717259,0.717259,0.43245,0.43245
random_forest,train,target_validation_precision,962641,962641,0.355784,0.355784,0.574358,0.574358,0.43939,0.43939
random_forest,validation,best_validation_f1,186920,186920,0.359521,0.359521,0.671762,0.671762,0.468373,0.468373
random_forest,validation,target_validation_precision,186920,186920,0.40001,0.40001,0.507902,0.507902,0.447546,0.447546
random_forest,test,best_validation_f1,195749,195749,0.321114,0.321114,0.673832,0.673832,0.434952,0.434952
random_forest,test,target_validation_precision,195749,195749,0.359378,0.359378,0.520076,0.520076,0.425045,0.425045
hist_gradient_boosting,train,best_validation_f1,962641,962641,0.30381,0.30381,0.723388,0.723388,0.427907,0.427907
hist_gradient_boosting,train,target_validation_precision,962641,962641,0.348096,0.348096,0.582495,0.582495,0.435775,0.435775
hist_gradient_boosting,validation,best_validation_f1,186920,186920,0.359479,0.359479,0.696715,0.696715,0.474259,0.474259
hist_gradient_boosting,validation,target_validation_precision,186920,186920,0.400006,0.400006,0.53832,0.53832,0.458969,0.458969
hist_gradient_boosting,test,best_validation_f1,195749,195749,0.319695,0.319695,0.693143,0.693143,0.437571,0.437571
hist_gradient_boosting,test,target_validation_precision,195749,195749,0.357576,0.357576,0.543856,0.543856,0.431469,0.431469
