threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,policy_type,calibration_method,split,selected_on_split,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,pr_auc,roc_auc,model_family,model,dataset,model_dataset_label
0.368465,195749,31629,164120,0.161579,0.838421,13261,18368,136212,27908,0.419267,0.322111,0.170046,0.419267,105058000.0,536.7,economic_max_20pct_reject,isotonic,test,validation,10000.0,1500.0,0.2,0.130435,0.375923,0.710411,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.368465,186920,31032,155888,0.166018,0.833982,14497,16535,124260,31628,0.467163,0.314298,0.202889,0.467163,120167500.0,642.88,economic_max_20pct_reject,isotonic,validation,validation,10000.0,1500.0,0.2,0.130435,0.422035,0.70246,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.365439,195749,38107,157642,0.194673,0.805327,15409,22698,131882,25760,0.404361,0.374286,0.163408,0.404361,120043000.0,613.25,economic_max_20pct_reject,platt_sigmoid,test,validation,10000.0,1500.0,0.2,0.130435,0.380189,0.710474,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.365439,186920,37384,149536,0.2,0.8,16821,20563,120232,29304,0.449952,0.364683,0.195966,0.449952,137365500.0,734.89,economic_max_20pct_reject,platt_sigmoid,validation,validation,10000.0,1500.0,0.2,0.130435,0.425707,0.702088,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.630464,195749,38107,157642,0.194673,0.805327,15409,22698,131882,25760,0.404361,0.374286,0.163408,0.404361,120043000.0,613.25,economic_max_20pct_reject,raw,test,validation,10000.0,1500.0,0.2,0.130435,0.380189,0.710474,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.630464,186920,37384,149536,0.2,0.8,16821,20563,120232,29304,0.449952,0.364683,0.195966,0.449952,137365500.0,734.89,economic_max_20pct_reject,raw,validation,validation,10000.0,1500.0,0.2,0.130435,0.425707,0.702088,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.130916,195749,144896,50853,0.740213,0.259787,37706,107190,47390,3463,0.260228,0.915883,0.068098,0.260228,216275000.0,1104.86,economic_unconstrained,isotonic,test,validation,10000.0,1500.0,,0.130435,0.375923,0.710411,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.130916,186920,146582,40338,0.784196,0.215804,42721,103861,36934,3404,0.291448,0.926201,0.084387,0.291448,271418500.0,1452.06,economic_unconstrained,isotonic,validation,validation,10000.0,1500.0,,0.130435,0.422035,0.70246,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.125063,195749,146648,49101,0.749163,0.250837,37895,108753,45827,3274,0.258408,0.920474,0.066679,0.258408,215820500.0,1102.54,economic_unconstrained,platt_sigmoid,test,validation,10000.0,1500.0,,0.130435,0.380189,0.710474,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.125063,186920,148227,38693,0.792997,0.207003,42935,105292,35503,3190,0.289657,0.93084,0.082444,0.289657,271412000.0,1452.02,economic_unconstrained,platt_sigmoid,validation,validation,10000.0,1500.0,,0.130435,0.425707,0.702088,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.300875,195749,146648,49101,0.749163,0.250837,37895,108753,45827,3274,0.258408,0.920474,0.066679,0.258408,215820500.0,1102.54,economic_unconstrained,raw,test,validation,10000.0,1500.0,,0.130435,0.380189,0.710474,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.300875,186920,148227,38693,0.792997,0.207003,42935,105292,35503,3190,0.289657,0.93084,0.082444,0.289657,271412000.0,1452.02,economic_unconstrained,raw,validation,validation,10000.0,1500.0,,0.130435,0.425707,0.702088,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
