threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,model_family,model,dataset,model_dataset_label
0.300875,186920,148227,38693,0.792997,0.207003,42935,105292,35503,3190,0.289657,0.93084,0.082444,0.289657,271412000.0,1452.02,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.306671,186920,146545,40375,0.783999,0.216001,42715,103830,36965,3410,0.29148,0.92607,0.084458,0.29148,271405000.0,1451.98,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.298877,186920,148788,38132,0.795998,0.204002,43004,105784,35011,3121,0.289029,0.932336,0.081847,0.289029,271364000.0,1451.77,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.301576,186920,148040,38880,0.791997,0.208003,42905,105135,35660,3220,0.28982,0.93019,0.082819,0.28982,271347500.0,1451.68,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.291045,186920,151031,35889,0.807998,0.192002,43295,107736,33059,2830,0.286663,0.938645,0.078854,0.286663,271346000.0,1451.67,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.289781,186920,151405,35515,0.809999,0.190001,43342,108063,32732,2783,0.286265,0.939664,0.078361,0.286265,271325500.0,1451.56,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.28841,186920,151779,35141,0.812,0.188,43390,108389,32406,2735,0.285876,0.940705,0.077829,0.285876,271316500.0,1451.51,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.286274,186920,152339,34581,0.814996,0.185004,43463,108876,31919,2662,0.285304,0.942287,0.076979,0.285304,271316000.0,1451.51,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.300228,186920,148414,38506,0.793997,0.206003,42951,105463,35332,3174,0.2894,0.931187,0.082429,0.2894,271315500.0,1451.51,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.30354,186920,147480,39440,0.789001,0.210999,42829,104651,36144,3296,0.290405,0.928542,0.08357,0.290405,271313500.0,1451.5,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.287653,186920,151967,34953,0.813006,0.186994,43414,108553,32242,2711,0.28568,0.941225,0.077561,0.28568,271310500.0,1451.48,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.302872,186920,147667,39253,0.790001,0.209999,42853,104814,35981,3272,0.2902,0.929062,0.083357,0.2902,271309000.0,1451.47,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.304192,186920,147293,39627,0.788,0.212,42804,104489,36306,3321,0.290604,0.928,0.083806,0.290604,271306500.0,1451.46,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.302208,186920,147853,39067,0.790996,0.209004,42877,104976,35819,3248,0.289997,0.929583,0.083139,0.289997,271306000.0,1451.46,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.299517,186920,148601,38319,0.794998,0.205002,42974,105627,35168,3151,0.289191,0.931686,0.082231,0.289191,271299500.0,1451.42,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.306029,186920,146732,40188,0.784999,0.215001,42730,104002,36793,3395,0.291211,0.926396,0.084478,0.291211,271297000.0,1451.41,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.29818,186920,148975,37945,0.796999,0.203001,43021,105954,34841,3104,0.28878,0.932705,0.081803,0.28878,271279000.0,1451.31,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.304824,186920,147106,39814,0.787,0.213,42777,104329,36466,3348,0.29079,0.927415,0.084091,0.29079,271276500.0,1451.3,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.297538,186920,149162,37758,0.797999,0.202001,43045,106117,34678,3080,0.288579,0.933225,0.081572,0.288579,271274500.0,1451.29,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.290427,186920,151218,35702,0.808999,0.191001,43313,107905,32890,2812,0.286428,0.939035,0.078763,0.286428,271272500.0,1451.28,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.291619,186920,150844,36076,0.806998,0.193002,43264,107580,33215,2861,0.286813,0.937973,0.079305,0.286813,271270000.0,1451.26,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.286979,186920,152153,34767,0.814001,0.185999,43434,108719,32076,2691,0.285463,0.941659,0.077401,0.285463,271261500.0,1451.22,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.295688,186920,149723,37197,0.801,0.199,43117,106606,34189,3008,0.287978,0.934786,0.080867,0.287978,271261000.0,1451.21,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.295006,186920,149910,37010,0.802001,0.197999,43141,106769,34026,2984,0.287779,0.935306,0.080627,0.287779,271256500.0,1451.19,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
