model,split,roc_auc_baseline_with_grade_subgrade,roc_auc_baseline_no_grade_subgrade,roc_auc_delta,pr_auc_baseline_with_grade_subgrade,pr_auc_baseline_no_grade_subgrade,pr_auc_delta,f1_baseline_with_grade_subgrade,f1_baseline_no_grade_subgrade,f1_delta,with_grade_label,no_grade_label
CatBoost,test,0.705725,0.70599,0.0002649999999999597,0.373955,0.374111,0.000156000000000045,0.436029,0.435019,-0.0010100000000000109,CatBoost | with grade/subgrade,CatBoost | no grade/subgrade
HistGradientBoosting,test,0.708493,0.709575,0.0010819999999999164,0.377185,0.380035,0.002850000000000019,0.437571,0.43814,0.0005689999999999862,HistGradientBoosting | with grade/subgrade,HistGradientBoosting | no grade/subgrade
LightGBM,test,0.711342,0.710277,-0.0010649999999999826,0.380512,0.379359,-0.0011530000000000151,0.439159,0.438613,-0.0005460000000000464,LightGBM | with grade/subgrade,LightGBM | no grade/subgrade
Logistic Regression,test,0.700061,0.697573,-0.0024880000000000457,0.361509,0.355817,-0.00569200000000003,0.431966,0.428814,-0.0031520000000000437,Logistic Regression | with grade/subgrade,Logistic Regression | no grade/subgrade
Random Forest,test,0.703753,0.704153,0.00040000000000006697,0.371073,0.370329,-0.0007439999999999669,0.434952,0.434789,-0.00016300000000002424,Random Forest | with grade/subgrade,Random Forest | no grade/subgrade
XGBoost,test,0.710193,0.709727,-0.00046599999999996644,0.37959,0.379252,-0.00033800000000000496,0.438462,0.437421,-0.0010410000000000141,XGBoost | with grade/subgrade,XGBoost | no grade/subgrade
CatBoost,validation,0.698653,0.699047,0.00039400000000000546,0.420953,0.421277,0.00032399999999999096,0.47226,0.472547,0.0002869999999999817,CatBoost | with grade/subgrade,CatBoost | no grade/subgrade
HistGradientBoosting,validation,0.700829,0.701741,0.0009119999999999129,0.4235,0.425647,0.00214700000000001,0.474259,0.474176,-8.299999999999974e-05,HistGradientBoosting | with grade/subgrade,HistGradientBoosting | no grade/subgrade
LightGBM,validation,0.702851,0.702179,-0.0006720000000000059,0.42477,0.424132,-0.0006379999999999719,0.475468,0.47503,-0.00043799999999999395,LightGBM | with grade/subgrade,LightGBM | no grade/subgrade
Logistic Regression,validation,0.695407,0.692454,-0.0029529999999999834,0.412336,0.408532,-0.003803999999999974,0.470633,0.468918,-0.001715000000000022,Logistic Regression | with grade/subgrade,Logistic Regression | no grade/subgrade
Random Forest,validation,0.694572,0.696983,0.002411000000000052,0.415081,0.416275,0.0011940000000000284,0.468373,0.4716,0.0032270000000000354,Random Forest | with grade/subgrade,Random Forest | no grade/subgrade
XGBoost,validation,0.701999,0.701651,-0.00034800000000001496,0.4254,0.425118,-0.00028200000000000447,0.473884,0.474049,0.00016499999999997073,XGBoost | with grade/subgrade,XGBoost | no grade/subgrade
