model_family,model_label,split,f1_baseline_no_grade_subgrade,f1_baseline_with_grade_subgrade,pr_auc_baseline_no_grade_subgrade,pr_auc_baseline_with_grade_subgrade,precision_baseline_no_grade_subgrade,precision_baseline_with_grade_subgrade,recall_baseline_no_grade_subgrade,recall_baseline_with_grade_subgrade,roc_auc_baseline_no_grade_subgrade,roc_auc_baseline_with_grade_subgrade,roc_auc_delta,pr_auc_delta,f1_delta,precision_delta,recall_delta
catboost,CatBoost,test,0.435019,0.436029,0.374111,0.373955,0.310243,0.31732,0.727683,0.696641,0.70599,0.705725,0.0002649999999999597,0.000156000000000045,-0.0010100000000000109,-0.007077,0.031042000000000014
hist_gradient_boosting,HistGradientBoosting,test,0.43814,0.437571,0.380035,0.377185,0.321367,0.319695,0.688212,0.693143,0.709575,0.708493,0.0010819999999999164,0.002850000000000019,0.0005689999999999862,0.0016720000000000068,-0.004930999999999908
lightgbm,LightGBM,test,0.438613,0.439159,0.379359,0.380512,0.317702,0.31627,0.708106,0.718235,0.710277,0.711342,-0.0010649999999999826,-0.0011530000000000151,-0.0005460000000000464,0.0014319999999999888,-0.010128999999999944
logistic_regression,Logistic Regression,test,0.428814,0.431966,0.355817,0.361509,0.300132,0.310541,0.750662,0.70932,0.697573,0.700061,-0.0024880000000000457,-0.00569200000000003,-0.0031520000000000437,-0.010409000000000002,0.0413420000000001
random_forest,Random Forest,test,0.434789,0.434952,0.370329,0.371073,0.312537,0.321114,0.71413,0.673832,0.704153,0.703753,0.00040000000000006697,-0.0007439999999999669,-0.00016300000000002424,-0.008577000000000001,0.040298000000000056
xgboost,XGBoost,test,0.437421,0.438462,0.379252,0.37959,0.31434,0.318981,0.718915,0.701061,0.709727,0.710193,-0.00046599999999996644,-0.00033800000000000496,-0.0010410000000000141,-0.004641000000000006,0.017853999999999925
catboost,CatBoost,validation,0.472547,0.47226,0.421277,0.420953,0.352698,0.359174,0.715772,0.689279,0.699047,0.698653,0.00039400000000000546,0.00032399999999999096,0.0002869999999999817,-0.006475999999999982,0.02649299999999999
hist_gradient_boosting,HistGradientBoosting,validation,0.474176,0.474259,0.425647,0.4235,0.365229,0.359479,0.675751,0.696715,0.701741,0.700829,0.0009119999999999129,0.00214700000000001,-8.299999999999974e-05,0.005750000000000033,-0.020963999999999983
lightgbm,LightGBM,validation,0.47503,0.475468,0.424132,0.42477,0.357799,0.35411,0.706515,0.723382,0.702179,0.702851,-0.0006720000000000059,-0.0006379999999999719,-0.00043799999999999395,0.003688999999999998,-0.016866999999999965
logistic_regression,Logistic Regression,validation,0.468918,0.470633,0.408532,0.412336,0.344783,0.355082,0.732726,0.697669,0.692454,0.695407,-0.0029529999999999834,-0.003803999999999974,-0.001715000000000022,-0.010299000000000003,0.035057000000000005
random_forest,Random Forest,validation,0.4716,0.468373,0.416275,0.415081,0.351879,0.359521,0.714797,0.671762,0.696983,0.694572,0.002411000000000052,0.0011940000000000284,0.0032270000000000354,-0.007641999999999982,0.043035000000000045
xgboost,XGBoost,validation,0.474049,0.473884,0.425118,0.4254,0.354651,0.357988,0.714645,0.700748,0.701651,0.701999,-0.00034800000000001496,-0.00028200000000000447,0.00016499999999997073,-0.003336999999999979,0.013896999999999937
