model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
lightgbm,lightgbm_03_missingness_challenger,test,best_validation_f1,195749,0.210315,0.474301,0.711344,0.379781,0.212109,0.322256,0.692293,0.439793,94639,59941,12668,28501,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,88442.0,0.451813,0.677744
lightgbm,lightgbm_06,test,best_validation_f1,195749,0.210315,0.459101,0.711342,0.380512,0.211718,0.31627,0.718235,0.439159,90656,63924,11600,29569,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,,0.4776167438914119,0.6837303327521846
lightgbm,lightgbm_06_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.468473,0.710277,0.379359,0.215386,0.317702,0.708106,0.438613,91973,62607,12017,29152,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,0.4687584610904781,0.682298194182587
xgboost,xgboost_05,test,best_validation_f1,195749,0.210315,0.470698,0.710193,0.37959,0.212441,0.318981,0.701061,0.438462,92960,61620,12307,28862,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost,XGBoost | baseline with grade/subgrade,,0.462234800688637,0.6810194292787516
xgboost,xgboost_05_missingness_challenger,test,best_validation_f1,195749,0.210315,0.464113,0.710474,0.380189,0.212454,0.316102,0.7143,0.43826,90957,63623,11762,29407,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,93030.0,0.475251,0.683898
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.18289,0.709575,0.380035,0.151336,0.321367,0.688212,0.43814,94749,59831,12836,28333,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,0.4503931054564774,0.6786330021323896
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,best_validation_f1,195749,0.210315,0.461866,0.709238,0.377731,0.211861,0.316077,0.711871,0.437777,91166,63414,11862,29307,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,92721.0,0.473673,0.683923
hist_gradient_boosting,hist_gradient_boosting_04,test,best_validation_f1,195749,0.210315,0.472937,0.708493,0.377185,0.212358,0.319695,0.693143,0.437571,93856,60724,12633,28536,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,,0.4559921123479558,0.6803047277615953
xgboost,xgboost_05_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.462322,0.709727,0.379252,0.215267,0.31434,0.718915,0.437421,90021,64559,11572,29597,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost,XGBoost | baseline no grade/subgrade,,0.4810037343741219,0.6856599685628106
catboost,catboost_04,test,best_validation_f1,195749,0.210315,0.479729,0.705725,0.373955,0.216384,0.31732,0.696641,0.436029,92878,61702,12489,28680,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost,CatBoost | baseline with grade/subgrade,,0.4617239423956188,0.6826801796817951
catboost,catboost_04_missingness_challenger,test,best_validation_f1,195749,0.210315,0.475722,0.705278,0.373893,0.214881,0.315858,0.699968,0.435292,92163,62417,12352,28817,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,91234.0,0.466076,0.684142
catboost,catboost_03_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.465666,0.70599,0.374111,0.218168,0.310243,0.727683,0.435019,87975,66605,11211,29958,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,,0.4933000934870676,0.6897569462423495
random_forest,random_forest_03,test,best_validation_f1,195749,0.210315,0.455266,0.703753,0.371073,0.200271,0.321114,0.673832,0.434952,95931,58649,13428,27741,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest,Random Forest | baseline with grade/subgrade,,0.4413304793383363,0.6788864451904155
random_forest,random_forest_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.443294,0.704153,0.370329,0.203629,0.312537,0.71413,0.434789,89911,64669,11769,29400,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,0.4805592876591962,0.6874634576746856
random_forest,random_forest_03_missingness_challenger,test,best_validation_f1,195749,0.210315,0.427279,0.703705,0.371062,0.200396,0.307384,0.729189,0.432465,86937,67643,11149,30020,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,97663.0,0.49892,0.692616
logistic_regression,logistic_regression_07,test,best_validation_f1,195749,0.210315,0.471801,0.700061,0.361509,0.225017,0.310541,0.70932,0.431966,89746,64834,11967,29202,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression,Logistic Regression | baseline with grade/subgrade,,0.4803907044225002,0.6894593559913225
logistic_regression,logistic_regression_04_missingness_challenger,test,best_validation_f1,195749,0.210315,0.470337,0.699982,0.361508,0.224967,0.31009,0.711531,0.431939,89407,65173,11876,29293,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,94466.0,0.482587,0.68991
logistic_regression,logistic_regression_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.164047,0.697573,0.355817,0.155394,0.300132,0.750662,0.428814,82516,72064,10265,30904,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,0.5260205671548769,0.699867920130526
lightgbm,lightgbm_06,validation,best_validation_f1,186920,0.246763,0.459101,0.702851,0.42477,0.217414,0.35411,0.723382,0.475468,79936,60859,12759,33366,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,,0.5040926599614809,0.6458901565401963
lightgbm,lightgbm_03_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.474301,0.702981,0.424804,0.21729,0.361194,0.694157,0.47515,84168,56627,14107,32018,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,88645.0,0.47424,0.638806
lightgbm,lightgbm_06_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.468473,0.702179,0.424132,0.21914,0.357799,0.706515,0.47503,82304,58491,13537,32588,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,0.4872619302375348,0.6422007268415332
hist_gradient_boosting,hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.472937,0.700829,0.4235,0.217717,0.359479,0.696715,0.474259,83535,57260,13989,32136,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,,0.4782580783222769,0.6405208286724238
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.18289,0.701741,0.425647,0.170437,0.365229,0.675751,0.474176,86623,54172,14956,31169,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,0.4565643055852771,0.6347710947844529
xgboost,xgboost_05_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.464113,0.702088,0.425707,0.217997,0.354607,0.714949,0.474077,80776,60019,13148,32977,missingness_challenger,missingness challenger,XGBoost,XGBoost | missingness challenger,92996.0,0.497518,0.645393
xgboost,xgboost_05_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.462322,0.701651,0.425118,0.219255,0.354651,0.714645,0.474049,80813,59982,13162,32963,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost,XGBoost | baseline no grade/subgrade,,0.4972448106141665,0.6453494001829039
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.461866,0.700996,0.42386,0.217615,0.353878,0.717138,0.473904,80400,60395,13047,33078,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,93473.0,0.50007,0.646122
xgboost,xgboost_05,validation,best_validation_f1,186920,0.246763,0.470698,0.701999,0.4254,0.217751,0.357988,0.700748,0.473884,82829,57966,13803,32322,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost,XGBoost | baseline with grade/subgrade,,0.4830301733361866,0.6420122275385434
catboost,catboost_03_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.465666,0.699047,0.421277,0.220366,0.352698,0.715772,0.472547,80203,60592,13110,33015,baseline_no_grade_subgrade,baseline no grade/subgrade,CatBoost,CatBoost | baseline no grade/subgrade,,0.5007864326984807,0.6473020180114735
catboost,catboost_04_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.475722,0.698633,0.420745,0.219273,0.357381,0.696802,0.472449,83003,57792,13985,32140,missingness_challenger,missingness challenger,CatBoost,CatBoost | missingness challenger,89932.0,0.481126,0.642619
catboost,catboost_04,validation,best_validation_f1,186920,0.246763,0.479729,0.698653,0.420953,0.219899,0.359174,0.689279,0.47226,84071,56724,14332,31793,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost,CatBoost | baseline with grade/subgrade,,0.4735555317783009,0.6408260560118395
random_forest,random_forest_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.443294,0.696983,0.416275,0.209809,0.351879,0.714797,0.4716,80068,60727,13155,32970,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,0.5012679221057137,0.6481210711122021
logistic_regression,logistic_regression_04_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.470337,0.69546,0.412281,0.223974,0.354561,0.700206,0.47075,82002,58793,13828,32297,missingness_challenger,missingness challenger,Logistic Regression,Logistic Regression | missingness challenger,91090.0,0.487321,0.645439
logistic_regression,logistic_regression_07,validation,best_validation_f1,186920,0.246763,0.471801,0.695407,0.412336,0.224051,0.355082,0.697669,0.470633,82348,58447,13945,32180,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression,Logistic Regression | baseline with grade/subgrade,,0.4848437834367644,0.644918181116003
logistic_regression,logistic_regression_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.164047,0.692454,0.408532,0.172715,0.344783,0.732726,0.468918,76568,64227,12328,33797,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,0.5244168628290178,0.6552170896923203
random_forest,random_forest_03_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.427279,0.694841,0.415314,0.207781,0.344976,0.731707,0.468887,76712,64083,12375,33750,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,97833.0,0.523395,0.655024
random_forest,random_forest_03,validation,best_validation_f1,186920,0.246763,0.455266,0.694572,0.415081,0.207616,0.359521,0.671762,0.468373,85596,55199,15140,30985,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest,Random Forest | baseline with grade/subgrade,,0.4610742563663599,0.6404785110925462
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.463641,0.709706,0.379471,0.215383,0.314906,0.717287,0.437666,90336,64244,11639,29530,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost,XGBoost | missingness challenger no grade/subgrade,93774.0,0.479052,0.685094
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.463339,0.710025,0.379028,0.215739,0.314708,0.716729,0.437371,90327,64253,11662,29507,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM,LightGBM | missingness challenger no grade/subgrade,93760.0,0.478981,0.685292
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.475018,0.707864,0.376065,0.217288,0.317393,0.699677,0.436691,92630,61950,12364,28805,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting,HistGradientBoosting | missingness challenger no grade/subgrade,90755.0,0.463629,0.682607
catboost,catboost_02_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.472333,0.705202,0.373444,0.217331,0.312383,0.716146,0.435013,89682,64898,11686,29483,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost,CatBoost | missingness challenger no grade/subgrade,94381.0,0.482153,0.687617
random_forest,random_forest_02_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.436412,0.704426,0.370541,0.202924,0.309413,0.727052,0.43409,87774,66806,11237,29932,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest,Random Forest | missingness challenger no grade/subgrade,96738.0,0.494194,0.690587
logistic_regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.461454,0.69923,0.361236,0.224438,0.309372,0.710875,0.431121,89248,65332,11903,29266,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression,Logistic Regression | missingness challenger no grade/subgrade,94598.0,0.483262,0.690628
