model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label
logistic_regression,logistic_regression_07,validation,1.0,1870,1132,0.605348,0.024542,0.246763,2.453151,Logistic Regression
logistic_regression,logistic_regression_07,validation,2.0,3739,2174,0.581439,0.047133,0.246763,2.356261,Logistic Regression
logistic_regression,logistic_regression_07,validation,5.0,9346,5073,0.542799,0.109984,0.246763,2.199675,Logistic Regression
logistic_regression,logistic_regression_07,validation,10.0,18692,9278,0.496362,0.201149,0.246763,2.011491,Logistic Regression
logistic_regression,logistic_regression_07,validation,15.0,28038,13006,0.46387,0.281973,0.246763,1.879819,Logistic Regression
logistic_regression,logistic_regression_07,validation,20.0,37384,16488,0.441044,0.357463,0.246763,1.787317,Logistic Regression
logistic_regression,logistic_regression_07,validation,25.0,46730,19675,0.421036,0.426558,0.246763,1.706233,Logistic Regression
logistic_regression,logistic_regression_07,validation,30.0,56076,22690,0.404629,0.491924,0.246763,1.639747,Logistic Regression
logistic_regression,logistic_regression_07,test,1.0,1958,1018,0.519918,0.024727,0.210315,2.47209,Logistic Regression
logistic_regression,logistic_regression_07,test,2.0,3915,2000,0.510856,0.04858,0.210315,2.429,Logistic Regression
logistic_regression,logistic_regression_07,test,5.0,9788,4603,0.47027,0.111807,0.210315,2.236023,Logistic Regression
logistic_regression,logistic_regression_07,test,10.0,19575,8479,0.433155,0.205956,0.210315,2.059549,Logistic Regression
logistic_regression,logistic_regression_07,test,15.0,29363,11950,0.406975,0.290267,0.210315,1.93507,Logistic Regression
logistic_regression,logistic_regression_07,test,20.0,39150,15132,0.386513,0.367558,0.210315,1.837781,Logistic Regression
logistic_regression,logistic_regression_07,test,25.0,48938,18054,0.368916,0.438534,0.210315,1.754109,Logistic Regression
logistic_regression,logistic_regression_07,test,30.0,58725,20837,0.354823,0.506133,0.210315,1.687102,Logistic Regression
random_forest,random_forest_03,validation,1.0,1870,1169,0.625134,0.025344,0.246763,2.533333,Random Forest
random_forest,random_forest_03,validation,2.0,3739,2237,0.598288,0.048499,0.246763,2.424543,Random Forest
random_forest,random_forest_03,validation,5.0,9346,5094,0.545046,0.110439,0.246763,2.20878,Random Forest
random_forest,random_forest_03,validation,10.0,18692,9368,0.501177,0.2031,0.246763,2.031003,Random Forest
