model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label,dataset,dataset_label,model_dataset_label,selection_rank,business_policy,avoided_auto_reject_share_vs_f1_threshold
xgboost,xgboost_05_missingness_challenger,test,5.0,9788,4880,0.49857,0.118536,0.210315,2.370583,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 5% only,0.447518
xgboost,xgboost_05,test,5.0,9788,4898,0.500409,0.118973,0.210315,2.379327,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 5% only,0.43303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,test,5.0,9788,4864,0.496935,0.118147,0.210315,2.36281,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 5% only,0.44381
xgboost,xgboost_05_no_grade_subgrade,test,5.0,9788,4890,0.499591,0.118779,0.210315,2.37544,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 5% only,0.447245
lightgbm,lightgbm_03_missingness_challenger,test,5.0,9788,4868,0.497344,0.118244,0.210315,2.364753,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 5% only,0.42424
lightgbm,lightgbm_06,test,5.0,9788,4879,0.498468,0.118512,0.210315,2.370097,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 5% only,0.454093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,test,5.0,9788,4836,0.494074,0.117467,0.210315,2.349209,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 5% only,0.446897
lightgbm,lightgbm_06_no_grade_subgrade,test,5.0,9788,4829,0.493359,0.117297,0.210315,2.345808,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 5% only,0.437262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,5.0,9788,4821,0.492542,0.117103,0.210315,2.341922,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 5% only,0.45007
hist_gradient_boosting,hist_gradient_boosting_04,test,5.0,9788,4831,0.493564,0.117346,0.210315,2.34678,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 5% only,0.428258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,5.0,9788,4811,0.49152,0.11686,0.210315,2.337064,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 5% only,0.426889
xgboost,xgboost_05_missingness_challenger,test,10.0,19575,8925,0.455939,0.216789,0.210315,2.167882,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 10% only,0.397518
xgboost,xgboost_05,test,10.0,19575,8888,0.454049,0.215891,0.210315,2.158895,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 10% only,0.38303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,test,10.0,19575,8903,0.454815,0.216255,0.210315,2.162538,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 10% only,0.39381
xgboost,xgboost_05_no_grade_subgrade,test,10.0,19575,8923,0.455837,0.216741,0.210315,2.167396,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 10% only,0.397245
lightgbm,lightgbm_03_missingness_challenger,test,10.0,19575,8874,0.453333,0.215551,0.210315,2.155494,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 10% only,0.37424
lightgbm,lightgbm_06,test,10.0,19575,8914,0.455377,0.216522,0.210315,2.16521,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 10% only,0.404093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,test,10.0,19575,8883,0.453793,0.215769,0.210315,2.15768,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 10% only,0.396897
lightgbm,lightgbm_06_no_grade_subgrade,test,10.0,19575,8911,0.455223,0.216449,0.210315,2.164482,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 10% only,0.387262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,10.0,19575,8863,0.452771,0.215283,0.210315,2.152822,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 10% only,0.40007
hist_gradient_boosting,hist_gradient_boosting_04,test,10.0,19575,8835,0.451341,0.214603,0.210315,2.146021,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 10% only,0.378258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,10.0,19575,8805,0.449808,0.213875,0.210315,2.138734,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 10% only,0.376889
xgboost,xgboost_05_missingness_challenger,test,20.0,39150,15704,0.401124,0.381452,0.210315,1.907251,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 20% only,0.297518
xgboost,xgboost_05,test,20.0,39150,15702,0.401073,0.381403,0.210315,1.907008,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 20% only,0.28303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,test,20.0,39150,15744,0.402146,0.382424,0.210315,1.912109,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 20% only,0.29381
xgboost,xgboost_05_no_grade_subgrade,test,20.0,39150,15713,0.401354,0.381671,0.210315,1.908344,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 20% only,0.297245
lightgbm,lightgbm_03_missingness_challenger,test,20.0,39150,15750,0.402299,0.382569,0.210315,1.912837,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 20% only,0.27424
lightgbm,lightgbm_06,test,20.0,39150,15769,0.402784,0.383031,0.210315,1.915145,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 20% only,0.304093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,test,20.0,39150,15715,0.401405,0.381719,0.210315,1.908587,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 20% only,0.296897
lightgbm,lightgbm_06_no_grade_subgrade,test,20.0,39150,15744,0.402146,0.382424,0.210315,1.912109,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 20% only,0.287262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,20.0,39150,15662,0.400051,0.380432,0.210315,1.90215,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 20% only,0.30007
hist_gradient_boosting,hist_gradient_boosting_04,test,20.0,39150,15638,0.399438,0.379849,0.210315,1.899235,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 20% only,0.278258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,20.0,39150,15608,0.398672,0.37912,0.210315,1.895591,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 20% only,0.276889
xgboost,xgboost_05_missingness_challenger,test,30.0,58725,21478,0.365739,0.521703,0.210315,1.739002,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 30% only,0.197518
xgboost,xgboost_05,test,30.0,58725,21445,0.365177,0.520902,0.210315,1.73633,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 30% only,0.18303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,test,30.0,58725,21429,0.364904,0.520513,0.210315,1.735034,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 30% only,0.19381
xgboost,xgboost_05_no_grade_subgrade,test,30.0,58725,21430,0.364921,0.520537,0.210315,1.735115,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 30% only,0.197245
lightgbm,lightgbm_03_missingness_challenger,test,30.0,58725,21520,0.366454,0.522723,0.210315,1.742402,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 30% only,0.17424
lightgbm,lightgbm_06,test,30.0,58725,21490,0.365943,0.521995,0.210315,1.739973,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 30% only,0.204093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,test,30.0,58725,21420,0.364751,0.520294,0.210315,1.734306,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 30% only,0.196897
lightgbm,lightgbm_06_no_grade_subgrade,test,30.0,58725,21419,0.364734,0.52027,0.210315,1.734225,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 30% only,0.187262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,30.0,58725,21376,0.364002,0.519226,0.210315,1.730743,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 30% only,0.20007
hist_gradient_boosting,hist_gradient_boosting_04,test,30.0,58725,21393,0.364291,0.519639,0.210315,1.73212,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 30% only,0.178258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,30.0,58725,21317,0.362997,0.517793,0.210315,1.725966,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 30% only,0.176889
