candidate,dataset,dataset_label,model_dataset_label,params,scale_pos_weight,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,mean_predicted_probability_raw,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall
xgb_neutral_09,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,9.988,0.702038,0.426423,0.199975,0.173938,0.474964,0.3605,0.695935
xgb_neutral_06,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.596,0.701829,0.426004,0.200091,0.173999,0.474727,0.36011,0.696369
xgb_neutral_01,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.877,0.701947,0.425906,0.2,0.170881,0.474726,0.357816,0.705106
xgb_neutral_08,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.018, ""max_depth"": 5, ""min_child_weight"": 32, ""n_estimators"": 600, ""reg_alpha"": 0.5, ""reg_lambda"": 12.0, ""subsample"": 0.75}",1.0,300000,0.188573,11.128,0.70171,0.425854,0.199975,0.172814,0.475218,0.35916,0.702092
xgb_neutral_02,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 500, ""reg_alpha"": 0.2, ""reg_lambda"": 6.0, ""subsample"": 0.85}",1.0,300000,0.188573,9.331,0.701069,0.425142,0.199948,0.170287,0.474455,0.356694,0.708293
xgb_neutral_04,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 16, ""n_estimators"": 450, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1.0,300000,0.188573,7.526,0.699835,0.42361,0.199336,0.183301,0.473024,0.366423,0.6671
xgb_neutral_11,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.022, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 6.0, ""subsample"": 0.8}",1.0,300000,0.188573,8.404,0.699932,0.423583,0.199487,0.16645,0.473249,0.35209,0.721539
xgb_neutral_07,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 300, ""reg_alpha"": 0.3, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1.0,300000,0.188573,5.202,0.699431,0.423266,0.19924,0.171373,0.473136,0.356295,0.704
xgb_neutral_03,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.018, ""max_depth"": 4, ""min_child_weight"": 24, ""n_estimators"": 550, ""reg_alpha"": 0.1, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,8.893,0.699025,0.422578,0.199144,0.172452,0.472856,0.356905,0.700401
xgb_neutral_12,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost neutral | missingness challenger no grade/subgrade,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.016, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 650, ""reg_alpha"": 0.2, ""reg_lambda"": 12.0, ""subsample"": 1.0}",1.0,300000,0.188573,9.909,0.698825,0.422343,0.199187,0.166421,0.472543,0.351511,0.720694
