model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
lightgbm,lightgbm_06,validation,1.0,1870,1178,0.629947,0.025539,0.246763,2.552837
lightgbm,lightgbm_06,validation,2.0,3739,2263,0.605242,0.049062,0.246763,2.452723
lightgbm,lightgbm_06,validation,5.0,9346,5197,0.556067,0.112672,0.246763,2.253442
lightgbm,lightgbm_06,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951
lightgbm,lightgbm_06,validation,15.0,28038,13369,0.476817,0.289843,0.246763,1.932285
lightgbm,lightgbm_06,validation,20.0,37384,16851,0.450754,0.365333,0.246763,1.826667
lightgbm,lightgbm_06,validation,25.0,46730,20050,0.429061,0.434688,0.246763,1.738753
lightgbm,lightgbm_06,validation,30.0,56076,23163,0.413064,0.502179,0.246763,1.67393
lightgbm,lightgbm_06,test,1.0,1958,1096,0.559755,0.026622,0.210315,2.661504
lightgbm,lightgbm_06,test,2.0,3915,2108,0.538442,0.051204,0.210315,2.560166
lightgbm,lightgbm_06,test,5.0,9788,4879,0.498468,0.118512,0.210315,2.370097
lightgbm,lightgbm_06,test,10.0,19575,8914,0.455377,0.216522,0.210315,2.16521
lightgbm,lightgbm_06,test,15.0,29363,12512,0.426114,0.303918,0.210315,2.026075
lightgbm,lightgbm_06,test,20.0,39150,15769,0.402784,0.383031,0.210315,1.915145
lightgbm,lightgbm_06,test,25.0,48938,18716,0.382443,0.454614,0.210315,1.818428
lightgbm,lightgbm_06,test,30.0,58725,21490,0.365943,0.521995,0.210315,1.739973
