model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
logistic_regression,logistic_regression_07,train,best_validation_f1,962641,0.1883,0.471801,0.719952,0.372912,0.214029,0.294505,0.713552,0.41693,471534,309842,51923,129342,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression,Logistic Regression | baseline with grade/subgrade,,,
logistic_regression,logistic_regression_07,validation,best_validation_f1,186920,0.246763,0.471801,0.695407,0.412336,0.224051,0.355082,0.697669,0.470633,82348,58447,13945,32180,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression,Logistic Regression | baseline with grade/subgrade,,,
logistic_regression,logistic_regression_07,test,best_validation_f1,195749,0.210315,0.471801,0.700061,0.361509,0.225017,0.310541,0.70932,0.431966,89746,64834,11967,29202,baseline_with_grade_subgrade,baseline with grade/subgrade,Logistic Regression,Logistic Regression | baseline with grade/subgrade,,,
random_forest,random_forest_03,train,best_validation_f1,962641,0.1883,0.455266,0.738405,0.398883,0.194754,0.309538,0.717259,0.43245,491364,290012,51251,130014,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest,Random Forest | baseline with grade/subgrade,,,
random_forest,random_forest_03,validation,best_validation_f1,186920,0.246763,0.455266,0.694572,0.415081,0.207616,0.359521,0.671762,0.468373,85596,55199,15140,30985,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest,Random Forest | baseline with grade/subgrade,,,
random_forest,random_forest_03,test,best_validation_f1,195749,0.210315,0.455266,0.703753,0.371073,0.200271,0.321114,0.673832,0.434952,95931,58649,13428,27741,baseline_with_grade_subgrade,baseline with grade/subgrade,Random Forest,Random Forest | baseline with grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_04,train,best_validation_f1,962641,0.1883,0.472937,0.734187,0.393537,0.207696,0.30381,0.723388,0.427907,480899,300477,50140,131125,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.472937,0.700829,0.4235,0.217717,0.359479,0.696715,0.474259,83535,57260,13989,32136,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_04,test,best_validation_f1,195749,0.210315,0.472937,0.708493,0.377185,0.212358,0.319695,0.693143,0.437571,93856,60724,12633,28536,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline with grade/subgrade,,,
lightgbm,lightgbm_06,train,best_validation_f1,962641,0.1883,0.459101,0.739261,0.399622,0.205701,0.300673,0.748749,0.429053,465704,315672,45543,135722,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,,,
lightgbm,lightgbm_06,validation,best_validation_f1,186920,0.246763,0.459101,0.702851,0.42477,0.217414,0.35411,0.723382,0.475468,79936,60859,12759,33366,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,,,
lightgbm,lightgbm_06,test,best_validation_f1,195749,0.210315,0.459101,0.711342,0.380512,0.211718,0.31627,0.718235,0.439159,90656,63924,11600,29569,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM,LightGBM | baseline with grade/subgrade,,,
xgboost,xgboost_05,train,best_validation_f1,962641,0.1883,0.470698,0.734468,0.395261,0.2079,0.303218,0.726605,0.427878,478716,302660,49557,131708,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost,XGBoost | baseline with grade/subgrade,,,
xgboost,xgboost_05,validation,best_validation_f1,186920,0.246763,0.470698,0.701999,0.4254,0.217751,0.357988,0.700748,0.473884,82829,57966,13803,32322,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost,XGBoost | baseline with grade/subgrade,,,
xgboost,xgboost_05,test,best_validation_f1,195749,0.210315,0.470698,0.710193,0.37959,0.212441,0.318981,0.701061,0.438462,92960,61620,12307,28862,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost,XGBoost | baseline with grade/subgrade,,,
catboost,catboost_04,train,best_validation_f1,962641,0.1883,0.479729,0.725721,0.382976,0.212346,0.299287,0.713105,0.421621,478740,302636,52004,129261,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost,CatBoost | baseline with grade/subgrade,,,
catboost,catboost_04,validation,best_validation_f1,186920,0.246763,0.479729,0.698653,0.420953,0.219899,0.359174,0.689279,0.47226,84071,56724,14332,31793,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost,CatBoost | baseline with grade/subgrade,,,
catboost,catboost_04,test,best_validation_f1,195749,0.210315,0.479729,0.705725,0.373955,0.216384,0.31732,0.696641,0.436029,92878,61702,12489,28680,baseline_with_grade_subgrade,baseline with grade/subgrade,CatBoost,CatBoost | baseline with grade/subgrade,,,
logistic_regression,logistic_regression_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.164047,0.716786,0.368618,0.138201,0.283275,0.74396,0.410315,440176,341200,46411,134854,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,,
logistic_regression,logistic_regression_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.164047,0.692454,0.408532,0.172715,0.344783,0.732726,0.468918,76568,64227,12328,33797,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,,
logistic_regression,logistic_regression_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.164047,0.697573,0.355817,0.155394,0.300132,0.750662,0.428814,82516,72064,10265,30904,baseline_no_grade_subgrade,baseline no grade/subgrade,Logistic Regression,Logistic Regression | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.18289,0.73318,0.39542,0.135436,0.310725,0.698469,0.430109,500524,280852,54657,126608,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.18289,0.701741,0.425647,0.170437,0.365229,0.675751,0.474176,86623,54172,14956,31169,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
hist_gradient_boosting,hist_gradient_boosting_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.18289,0.709575,0.380035,0.151336,0.321367,0.688212,0.43814,94749,59831,12836,28333,baseline_no_grade_subgrade,baseline no grade/subgrade,HistGradientBoosting,HistGradientBoosting | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.443294,0.740232,0.399702,0.199573,0.297199,0.762006,0.427618,454745,326631,43140,138125,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,validation,best_validation_f1,186920,0.246763,0.443294,0.696983,0.416275,0.209809,0.351879,0.714797,0.4716,80068,60727,13155,32970,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
random_forest,random_forest_no_grade_subgrade,test,best_validation_f1,195749,0.210315,0.443294,0.704153,0.370329,0.203629,0.312537,0.71413,0.434789,89911,64669,11769,29400,baseline_no_grade_subgrade,baseline no grade/subgrade,Random Forest,Random Forest | baseline no grade/subgrade,,,
lightgbm,lightgbm_06_no_grade_subgrade,train,best_validation_f1,962641,0.1883,0.468473,0.738094,0.398299,0.20606,0.304714,0.73221,0.430339,478531,302845,48541,132724,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM,LightGBM | baseline no grade/subgrade,,,
