model_family,model_label,candidate,dataset,dataset_label,model_dataset_label,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 0.25, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,29.908,0.69546,0.412281,0.470337,0.47075,0.354561,0.700206,0.562989,0.448062,0.400003,0.509247
logistic_regression,Logistic Regression,logistic_regression_07_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 0.5, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,41.019,0.69546,0.41228,0.470309,0.470745,0.354544,0.700249,0.562993,0.448062,0.400003,0.509247
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.15, ""penalty"": ""elasticnet""}",962641,0.1883,41.87,0.69546,0.412282,0.470368,0.470743,0.35458,0.700098,0.56302,0.448018,0.4,0.509138
logistic_regression,Logistic Regression,logistic_regression_06_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,30.233,0.69546,0.412282,0.470367,0.47074,0.354572,0.700119,0.562986,0.448062,0.400003,0.509247
logistic_regression,Logistic Regression,logistic_regression_05_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 0.5, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",962641,0.1883,30.625,0.695461,0.412282,0.470527,0.470723,0.354619,0.699859,0.563102,0.447945,0.400003,0.508943
logistic_regression,Logistic Regression,logistic_regression_02_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 0.5, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,27.121,0.693237,0.409396,0.172397,0.469126,0.353058,0.698883,0.234606,0.444987,0.4,0.501377
logistic_regression,Logistic Regression,logistic_regression_03_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,27.055,0.693236,0.409395,0.172431,0.469105,0.353062,0.698775,0.234639,0.444964,0.400003,0.501312
logistic_regression,Logistic Regression,logistic_regression_01_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,"{""C"": 0.25, ""class_weight"": null, ""penalty"": ""l2""}",962641,0.1883,32.838,0.693235,0.409394,0.172401,0.469105,0.35304,0.698862,0.234632,0.44497,0.4,0.501333
random_forest,Random Forest,random_forest_03_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 40, ""n_estimators"": 200}",200000,0.1883,57.196,0.694841,0.415314,0.427279,0.468887,0.344976,0.731707,0.523309,0.447995,0.400003,0.509073
random_forest,Random Forest,random_forest_02_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 60, ""n_estimators"": 160}",200000,0.1883,41.484,0.693812,0.41461,0.457011,0.467732,0.350276,0.703696,0.538129,0.448002,0.4,0.509095
random_forest,Random Forest,random_forest_01_missingness_challenger,missingness_challenger,missingness challenger,Random Forest | missingness challenger,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 80, ""n_estimators"": 120}",200000,0.1883,26.347,0.692308,0.412567,0.481045,0.466828,0.354869,0.681995,0.547977,0.444571,0.400003,0.500314
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_06_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.01, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",300000,0.1883,39.65,0.700996,0.42386,0.461866,0.473904,0.353878,0.717138,0.549135,0.459321,0.400003,0.539295
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_02_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",300000,0.1883,35.869,0.70079,0.42385,0.461127,0.473569,0.352326,0.722038,0.55106,0.459044,0.4,0.538537
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_01_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 180, ""max_leaf_nodes"": 31}",300000,0.1883,36.324,0.700196,0.422812,0.472713,0.473552,0.356751,0.704065,0.554401,0.458312,0.400003,0.53652
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_04_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 220, ""max_leaf_nodes"": 45}",300000,0.1883,29.628,0.70076,0.423964,0.457407,0.473402,0.351337,0.725442,0.549328,0.459986,0.4,0.541138
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_05_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.01, ""learning_rate"": 0.07, ""max_iter"": 180, ""max_leaf_nodes"": 45}",300000,0.1883,28.078,0.700636,0.4236,0.482438,0.473401,0.365192,0.672737,0.548845,0.457932,0.400003,0.53548
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,"{""l2_regularization"": 0.01, ""learning_rate"": 0.05, ""max_iter"": 220, ""max_leaf_nodes"": 45}",300000,0.1883,29.157,0.700245,0.423017,0.458094,0.473308,0.351035,0.726287,0.551773,0.457953,0.4,0.535545
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 350, ""num_leaves"": 63, ""reg_lambda"": 3.0, ""subsample"": 0.8}",300000,0.1883,8.737,0.702981,0.424804,0.474301,0.475162,0.361201,0.694179,0.546402,0.46326,0.4,0.550287
lightgbm,LightGBM,lightgbm_05_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 280, ""num_leaves"": 45, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,6.697,0.702568,0.425121,0.475345,0.475159,0.35961,0.700119,0.550867,0.461949,0.4,0.546602
lightgbm,LightGBM,lightgbm_06_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 12, ""min_child_samples"": 120, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,10.424,0.702762,0.424818,0.46702,0.47487,0.357048,0.708748,0.54795,0.461964,0.4,0.546645
lightgbm,LightGBM,lightgbm_02_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 45, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,6.941,0.702481,0.424116,0.473162,0.474851,0.358351,0.703588,0.551689,0.46185,0.400003,0.54632
lightgbm,LightGBM,lightgbm_01_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",300000,0.1883,5.486,0.701729,0.423769,0.472986,0.473885,0.356717,0.705669,0.553403,0.460715,0.400003,0.543154
lightgbm,LightGBM,lightgbm_04_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.9}",300000,0.1883,5.13,0.701786,0.423527,0.459128,0.473544,0.350494,0.729734,0.552721,0.460174,0.4,0.541659
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,13.278,0.702088,0.425707,0.464113,0.474077,0.354607,0.714949,0.548071,0.460502,0.4,0.542569
xgboost,XGBoost,xgboost_04_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.045, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 240, ""reg_alpha"": 0.2, ""reg_lambda"": 3.0, ""subsample"": 0.9}",300000,0.1883,8.382,0.701692,0.425382,0.472593,0.474,0.358375,0.699772,0.548781,0.460731,0.400003,0.543198
xgboost,XGBoost,xgboost_03_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,10.634,0.700931,0.423997,0.468617,0.473557,0.355534,0.708878,0.552889,0.457858,0.4,0.535285
xgboost,XGBoost,xgboost_01_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,6.946,0.698616,0.421543,0.467023,0.47212,0.352972,0.712694,0.555218,0.455005,0.400003,0.527545
xgboost,XGBoost,xgboost_02_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 12, ""n_estimators"": 260, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",300000,0.1883,8.46,0.69894,0.421857,0.461503,0.472037,0.350776,0.721431,0.55564,0.455086,0.400003,0.527762
xgboost,XGBoost,xgboost_06_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",300000,0.1883,5.073,0.697388,0.419799,0.474415,0.471695,0.355965,0.698927,0.557728,0.452935,0.4,0.522016
catboost,CatBoost,catboost_04_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,"{""depth"": 5, ""iterations"": 240, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.045, ""subsample"": 0.9}",100000,0.1883,5.597,0.698633,0.420745,0.475722,0.472472,0.357395,0.696846,0.555014,0.455912,0.4,0.529995
catboost,CatBoost,catboost_02_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,"{""depth"": 5, ""iterations"": 260, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.035, ""subsample"": 0.85}",100000,0.1883,6.076,0.697593,0.419684,0.468261,0.471182,0.351007,0.716488,0.558272,0.453515,0.400003,0.523556
catboost,CatBoost,catboost_01_missingness_challenger,missingness_challenger,missingness challenger,CatBoost | missingness challenger,"{""depth"": 4, ""iterations"": 220, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.04, ""subsample"": 0.85}",100000,0.1883,4.586,0.696069,0.417439,0.461532,0.470042,0.347212,0.72735,0.560498,0.450287,0.4,0.515035
