model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,1.0,1870,1126,0.602139,0.024412,0.246763,2.440148
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,2.0,3739,2180,0.583044,0.047263,0.246763,2.362764
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,5.0,9346,5063,0.541729,0.109767,0.246763,2.195339
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,10.0,18692,9265,0.495667,0.200867,0.246763,2.008672
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,15.0,28038,12998,0.463585,0.281799,0.246763,1.878663
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,20.0,37384,16495,0.441232,0.357615,0.246763,1.788076
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,25.0,46730,19661,0.420736,0.426255,0.246763,1.705019
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,validation,30.0,56076,22694,0.404701,0.492011,0.246763,1.640036
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,1.0,1958,1014,0.517875,0.02463,0.210315,2.462377
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,2.0,3915,2003,0.511622,0.048653,0.210315,2.432643
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,5.0,9788,4602,0.470168,0.111783,0.210315,2.235537
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,10.0,19575,8483,0.433359,0.206053,0.210315,2.06052
logistic_regression,Logistic Regression,logistic_regression_04_missingness_challenger,missingness_challenger,missingness challenger,Logistic Regression | missingness challenger,test,15.0,29363,11950,0.406975,0.290267,0.210315,1.93507
