model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,1.0,1870,1124,0.60107,0.024369,0.246763,2.435814
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,2.0,3739,2188,0.585183,0.047436,0.246763,2.371435
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,5.0,9346,5053,0.540659,0.10955,0.246763,2.191003
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,10.0,18692,9264,0.495613,0.200846,0.246763,2.008455
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,15.0,28038,13024,0.464512,0.282363,0.246763,1.882421
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,20.0,37384,16481,0.440857,0.357312,0.246763,1.786558
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,25.0,46730,19709,0.421763,0.427295,0.246763,1.709182
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,30.0,56076,22676,0.40438,0.491621,0.246763,1.638735
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,test,1.0,1958,1021,0.52145,0.0248,0.210315,2.479375
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,test,2.0,3915,2015,0.514687,0.048945,0.210315,2.447217
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,test,5.0,9788,4598,0.469759,0.111686,0.210315,2.233594
