model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,train,best_validation_f1,962641,0.1883,0.461454,0.719196,0.371643,0.213666,0.2926,0.718087,0.415781,466687,314689,51101,130164,444853,0.462117,0.7074
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,train,target_validation_precision,962641,0.1883,0.550598,0.719196,0.371643,0.213666,0.343763,0.543238,0.421071,593399,187977,82795,98470,286447,0.297564,0.656237
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,best_validation_f1,186920,0.246763,0.461454,0.695499,0.412345,0.223135,0.354774,0.700856,0.471085,82002,58793,13798,32327,91120,0.487481,0.645226
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,validation,target_validation_precision,186920,0.246763,0.550598,0.695499,0.412345,0.223135,0.400014,0.511957,0.449115,105376,35419,22511,23614,59033,0.31582,0.599986
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,test,best_validation_f1,195749,0.210315,0.461454,0.69923,0.361236,0.224438,0.309372,0.710875,0.431121,89248,65332,11903,29266,94598,0.483262,0.690628
logistic_regression,Logistic Regression,logistic_regression_08_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Logistic Regression | missingness challenger no grade/subgrade,test,target_validation_precision,195749,0.210315,0.550598,0.69923,0.361236,0.224438,0.347083,0.541427,0.423,112649,41931,18879,22290,64221,0.328078,0.652917
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,train,best_validation_f1,962641,0.1883,0.436412,0.735166,0.392506,0.199285,0.292066,0.763733,0.422543,445818,335558,42827,138438,473996,0.492391,0.707934
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,train,target_validation_precision,962641,0.1883,0.521262,0.735166,0.392506,0.199285,0.351541,0.576912,0.436874,588477,192899,76691,104574,297473,0.309018,0.648459
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,validation,best_validation_f1,186920,0.246763,0.436412,0.696912,0.416505,0.209056,0.348909,0.727696,0.471667,78160,62635,12560,33565,96200,0.514659,0.651091
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,validation,target_validation_precision,186920,0.246763,0.521262,0.696912,0.416505,0.209056,0.400003,0.518959,0.451782,104890,35905,22188,23937,59842,0.320148,0.599997
random_forest,Random Forest,random_forest_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,Random Forest | missingness challenger no grade/subgrade,test,best_validation_f1,195749,0.210315,0.436412,0.704426,0.370541,0.202924,0.309413,0.727052,0.43409,87774,66806,11237,29932,96738,0.494194,0.690587
