model_family,model_label,candidate,feature_set,feature_set_label,model_feature_label,selection_metric,training_eval_metric,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
catboost,CatBoost,catboost_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.8}",300000,0.1883,23.175,0.699047,0.421277,0.465666,0.472558,0.352705,0.715794,0.555429,0.455896,0.4,0.529951
catboost,CatBoost,catboost_pr_auc_04_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 5, ""iterations"": 240, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.045, ""subsample"": 0.9}",300000,0.1883,18.254,0.698921,0.42109,0.474141,0.472217,0.356441,0.699382,0.556711,0.455134,0.400003,0.527892
catboost,CatBoost,catboost_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 6, ""iterations"": 350, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.025, ""subsample"": 0.8}",300000,0.1883,27.045,0.698756,0.420817,0.472709,0.472488,0.355494,0.70426,0.556602,0.455778,0.400003,0.529626
catboost,CatBoost,catboost_pr_auc_02_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 5, ""iterations"": 260, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.035, ""subsample"": 0.85}",300000,0.1883,19.361,0.697812,0.419677,0.478967,0.472061,0.358196,0.692054,0.558447,0.453505,0.4,0.523534
catboost,CatBoost,catboost_pr_auc_06_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 4, ""iterations"": 180, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.06, ""subsample"": 0.9}",300000,0.1883,12.833,0.697334,0.419199,0.475371,0.471616,0.355943,0.698667,0.560754,0.45164,0.4,0.518591
catboost,CatBoost,catboost_pr_auc_01_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,CatBoost | no grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 4, ""iterations"": 220, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.04, ""subsample"": 0.85}",300000,0.1883,15.267,0.696186,0.417852,0.466945,0.470699,0.351502,0.712217,0.559816,0.450684,0.4,0.516076
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 280, ""num_leaves"": 45, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,5.749,0.70235,0.424844,0.460993,0.474987,0.353654,0.723057,0.553836,0.461561,0.4,0.545518
lightgbm,LightGBM,lightgbm_pr_auc_06_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 12, ""min_child_samples"": 120, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,8.824,0.702179,0.424132,0.468473,0.47503,0.357799,0.706515,0.553096,0.460871,0.400003,0.543588
lightgbm,LightGBM,lightgbm_pr_auc_03_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 350, ""num_leaves"": 63, ""reg_lambda"": 3.0, ""subsample"": 0.8}",300000,0.1883,7.554,0.702253,0.423946,0.463318,0.47501,0.355668,0.714883,0.550633,0.462608,0.400003,0.548444
lightgbm,LightGBM,lightgbm_pr_auc_04_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.9}",300000,0.1883,4.792,0.701672,0.42377,0.461718,0.474486,0.353011,0.723425,0.555031,0.46112,0.400003,0.544282
