model_family,model_label,model,feature_set,feature_set_label,model_feature_label,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,train,best_validation_f1_pr_auc_selected,962641,0.1883,0.459101,0.739261,0.399622,0.205701,0.300673,0.748749,0.429053,465704,315672,45543,135722,451394,0.468912,0.699327
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,train,target_validation_precision_pr_auc_selected,962641,0.1883,0.547699,0.739261,0.399622,0.205701,0.350643,0.592431,0.440542,582506,198870,73878,107387,306257,0.318142,0.649357
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation,best_validation_f1_pr_auc_selected,186920,0.246763,0.459101,0.702851,0.42477,0.217413,0.354103,0.72336,0.475458,79936,60859,12760,33365,94224,0.504087,0.645897
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation,target_validation_precision_pr_auc_selected,186920,0.246763,0.547699,0.702851,0.42477,0.217413,0.400006,0.546038,0.461751,103017,37778,20939,25186,62964,0.33685,0.599994
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,test,best_validation_f1_pr_auc_selected,195749,0.210315,0.459101,0.711342,0.380512,0.211718,0.31627,0.718235,0.439159,90656,63924,11600,29569,93493,0.477617,0.68373
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,test,target_validation_precision_pr_auc_selected,195749,0.210315,0.547699,0.711342,0.380512,0.211718,0.359584,0.551434,0.435309,114148,40432,18467,22702,63134,0.322525,0.640416
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,train,best_validation_f1_pr_auc_selected,962641,0.1883,0.470697,0.734468,0.395261,0.2079,0.303216,0.726605,0.427877,478714,302662,49557,131708,434370,0.451227,0.696784
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,train,target_validation_precision_pr_auc_selected,962641,0.1883,0.546067,0.734468,0.395261,0.2079,0.347097,0.587747,0.436448,580974,200402,74727,106538,306940,0.318852,0.652903
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation,best_validation_f1_pr_auc_selected,186920,0.246763,0.470697,0.701999,0.4254,0.21775,0.357995,0.70077,0.473896,82829,57966,13802,32323,90289,0.483036,0.642005
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation,target_validation_precision_pr_auc_selected,186920,0.246763,0.546067,0.701999,0.4254,0.21775,0.40001,0.546667,0.461978,102974,37821,20910,25215,63036,0.337235,0.59999
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,test,best_validation_f1_pr_auc_selected,195749,0.210315,0.470697,0.710193,0.37959,0.212441,0.318981,0.701061,0.438462,92960,61620,12307,28862,90482,0.462235,0.681019
