model,split,score_band,rows,bad_rate,min_score,max_score
logistic_regression,train,"(-0.0009135, 0.217]",96265,0.037469,8.70000003487803e-05,0.2171729952096939
logistic_regression,train,"(0.217, 0.284]",96264,0.06798,0.2171739935874939,0.2837640047073364
logistic_regression,train,"(0.284, 0.341]",96264,0.093898,0.2837670147418976,0.3412260115146637
logistic_regression,train,"(0.341, 0.395]",96264,0.119193,0.3412269949913025,0.39505401253700256
logistic_regression,train,"(0.395, 0.448]",96264,0.147407,0.39505499601364136,0.44840899109840393
logistic_regression,train,"(0.448, 0.502]",96264,0.176255,0.4484100043773651,0.5022879838943481
logistic_regression,train,"(0.502, 0.559]",96264,0.211959,0.5022889971733093,0.5593929886817932
logistic_regression,train,"(0.559, 0.625]",96264,0.254467,0.5593929886817932,0.625324010848999
logistic_regression,train,"(0.625, 0.71]",96264,0.31905,0.625324010848999,0.7100800275802612
logistic_regression,train,"(0.71, 1.0]",96264,0.455321,0.7100809812545776,1.0
logistic_regression,validation,"(0.00165, 0.233]",18692,0.057404,0.002647999906912446,0.2326190024614334
logistic_regression,validation,"(0.233, 0.305]",18692,0.108977,0.2326200008392334,0.30500298738479614
logistic_regression,validation,"(0.305, 0.362]",18692,0.146426,0.30500298738479614,0.36222100257873535
logistic_regression,validation,"(0.362, 0.413]",18692,0.18334,0.36222198605537415,0.4131770133972168
logistic_regression,validation,"(0.413, 0.464]",18692,0.216189,0.41318199038505554,0.4638879895210266
logistic_regression,validation,"(0.464, 0.515]",18692,0.253103,0.4638890027999878,0.5154110193252563
logistic_regression,validation,"(0.515, 0.572]",18692,0.288145,0.5154290199279785,0.5715709924697876
logistic_regression,validation,"(0.572, 0.639]",18692,0.331907,0.57157301902771,0.6389350295066833
logistic_regression,validation,"(0.639, 0.732]",18692,0.385727,0.6389390230178833,0.7323780059814453
logistic_regression,validation,"(0.732, 1.0]",18692,0.496416,0.7323780059814453,1.0
logistic_regression,test,"(-0.00030199999999999997, 0.206]",19575,0.042708,0.0006980000180192292,0.20638899505138397
logistic_regression,test,"(0.206, 0.279]",19575,0.078212,0.20639899373054504,0.2794789969921112
logistic_regression,test,"(0.279, 0.345]",19575,0.116679,0.2794789969921112,0.3446359932422638
logistic_regression,test,"(0.345, 0.403]",19575,0.149732,0.344637006521225,0.4031960070133209
logistic_regression,test,"(0.403, 0.46]",19575,0.183959,0.4031969904899597,0.4604479968547821
logistic_regression,test,"(0.46, 0.518]",19574,0.215848,0.46045100688934326,0.5182369947433472
logistic_regression,test,"(0.518, 0.579]",19575,0.251545,0.5182390213012695,0.5792980194091797
logistic_regression,test,"(0.579, 0.648]",19575,0.291392,0.5792999863624573,0.6476150155067444
logistic_regression,test,"(0.648, 0.739]",19575,0.339821,0.6476179957389832,0.7390620112419128
logistic_regression,test,"(0.739, 1.0]",19575,0.433257,0.7390639781951904,1.0
hist_gradient_boosting,train,"(0.0383, 0.193]",96265,0.030146,0.039314,0.192953
hist_gradient_boosting,train,"(0.193, 0.268]",96264,0.061311,0.192955,0.267916
hist_gradient_boosting,train,"(0.268, 0.329]",96264,0.087187,0.267917,0.329438
hist_gradient_boosting,train,"(0.329, 0.389]",96264,0.115318,0.329441,0.389295
hist_gradient_boosting,train,"(0.389, 0.448]",96264,0.141642,0.389295,0.448278
hist_gradient_boosting,train,"(0.448, 0.506]",96264,0.173658,0.448278,0.505627
hist_gradient_boosting,train,"(0.506, 0.565]",96264,0.211481,0.505628,0.565167
hist_gradient_boosting,train,"(0.565, 0.631]",96264,0.259235,0.565168,0.630933
hist_gradient_boosting,train,"(0.631, 0.714]",96264,0.326591,0.630933,0.714073
hist_gradient_boosting,train,"(0.714, 0.919]",96264,0.476429,0.714075,0.919139
hist_gradient_boosting,validation,"(0.0398, 0.218]",18692,0.05275,0.040831,0.21834
hist_gradient_boosting,validation,"(0.218, 0.297]",18692,0.107051,0.218347,0.2965
hist_gradient_boosting,validation,"(0.297, 0.359]",18692,0.142735,0.296501,0.358933
hist_gradient_boosting,validation,"(0.359, 0.416]",18692,0.178847,0.358938,0.415588
hist_gradient_boosting,validation,"(0.416, 0.469]",18692,0.216082,0.415591,0.468778
hist_gradient_boosting,validation,"(0.469, 0.522]",18692,0.244008,0.46878,0.52187
hist_gradient_boosting,validation,"(0.522, 0.576]",18692,0.292799,0.521876,0.576228
hist_gradient_boosting,validation,"(0.576, 0.637]",18692,0.33287,0.576234,0.636882
hist_gradient_boosting,validation,"(0.637, 0.719]",18692,0.387385,0.636885,0.719403
hist_gradient_boosting,validation,"(0.719, 0.921]",18692,0.513107,0.719411,0.921354
hist_gradient_boosting,test,"(0.0357, 0.184]",19575,0.035913,0.036662,0.183765
hist_gradient_boosting,test,"(0.184, 0.267]",19575,0.076935,0.183765,0.267138
hist_gradient_boosting,test,"(0.267, 0.335]",19575,0.111315,0.267139,0.335249
hist_gradient_boosting,test,"(0.335, 0.398]",19575,0.149885,0.335252,0.397837
hist_gradient_boosting,test,"(0.398, 0.458]",19575,0.177778,0.39784,0.457506
hist_gradient_boosting,test,"(0.458, 0.514]",19574,0.209666,0.457514,0.514137
hist_gradient_boosting,test,"(0.514, 0.572]",19575,0.247458,0.514138,0.571882
hist_gradient_boosting,test,"(0.572, 0.635]",19575,0.291545,0.571889,0.635273
hist_gradient_boosting,test,"(0.635, 0.718]",19575,0.350856,0.635281,0.718264
hist_gradient_boosting,test,"(0.718, 0.926]",19575,0.451801,0.718275,0.925504
random_forest,train,"(0.031, 0.206]",96265,0.0281,0.032033,0.205541
random_forest,train,"(0.206, 0.284]",96264,0.063295,0.205543,0.284482
random_forest,train,"(0.284, 0.341]",96264,0.08698,0.284482,0.340897
random_forest,train,"(0.341, 0.392]",96264,0.117562,0.340897,0.391785
random_forest,train,"(0.392, 0.447]",96264,0.148082,0.391786,0.446821
random_forest,train,"(0.447, 0.496]",96264,0.171674,0.446821,0.496297
random_forest,train,"(0.496, 0.545]",96264,0.211772,0.496297,0.544632
random_forest,train,"(0.545, 0.601]",96264,0.256378,0.544632,0.601338
random_forest,train,"(0.601, 0.679]",96264,0.325937,0.601338,0.678826
random_forest,train,"(0.679, 0.877]",96264,0.473219,0.678826,0.877346
random_forest,validation,"(0.0358, 0.234]",18692,0.060293,0.036787,0.233563
random_forest,validation,"(0.234, 0.31]",18692,0.110957,0.233564,0.310436
random_forest,validation,"(0.31, 0.362]",18692,0.14878,0.310439,0.361623
random_forest,validation,"(0.362, 0.411]",18692,0.186443,0.361627,0.411486
random_forest,validation,"(0.411, 0.46]",18692,0.214958,0.411491,0.460355
random_forest,validation,"(0.46, 0.504]",18692,0.245453,0.460355,0.503805
random_forest,validation,"(0.504, 0.548]",18692,0.28975,0.503807,0.548088
random_forest,validation,"(0.548, 0.601]",18692,0.331265,0.548089,0.600795
random_forest,validation,"(0.601, 0.673]",18692,0.381821,0.600801,0.673073
random_forest,validation,"(0.673, 0.867]",18692,0.497914,0.673084,0.866825
random_forest,test,"(0.036, 0.196]",19575,0.040409,0.036969,0.195557
random_forest,test,"(0.196, 0.281]",19575,0.080766,0.195559,0.28092
random_forest,test,"(0.281, 0.341]",19575,0.112593,0.280925,0.340532
random_forest,test,"(0.341, 0.395]",19575,0.15341,0.340533,0.39535
random_forest,test,"(0.395, 0.45]",19575,0.183653,0.395352,0.450031
random_forest,test,"(0.45, 0.497]",19574,0.211454,0.450038,0.497382
random_forest,test,"(0.497, 0.544]",19575,0.241737,0.497383,0.543925
random_forest,test,"(0.544, 0.597]",19575,0.298033,0.543926,0.59655
random_forest,test,"(0.597, 0.665]",19575,0.339974,0.596557,0.664778
random_forest,test,"(0.665, 0.865]",19575,0.441124,0.664787,0.865321
