model,split,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp
logistic_regression_no_grade_subgrade,train,962641,0.1883,0.164047,0.716786,0.368618,0.138201,0.283275,0.74396,0.410315,440176,341200,46411,134854
logistic_regression_no_grade_subgrade,validation,186920,0.246763,0.164047,0.692454,0.408532,0.172715,0.344783,0.732726,0.468918,76568,64227,12328,33797
logistic_regression_no_grade_subgrade,test,195749,0.210315,0.164047,0.697573,0.355817,0.155394,0.300132,0.750662,0.428814,82516,72064,10265,30904
hist_gradient_boosting_no_grade_subgrade,train,962641,0.1883,0.18289,0.73318,0.39542,0.135436,0.310725,0.698469,0.430109,500524,280852,54657,126608
hist_gradient_boosting_no_grade_subgrade,validation,186920,0.246763,0.18289,0.701741,0.425647,0.170437,0.365229,0.675751,0.474176,86623,54172,14956,31169
hist_gradient_boosting_no_grade_subgrade,test,195749,0.210315,0.18289,0.709575,0.380035,0.151336,0.321367,0.688212,0.43814,94749,59831,12836,28333
random_forest_no_grade_subgrade,train,962641,0.1883,0.443294,0.740232,0.399702,0.199573,0.297199,0.762006,0.427618,454745,326631,43140,138125
random_forest_no_grade_subgrade,validation,186920,0.246763,0.443294,0.696983,0.416275,0.209809,0.351879,0.714797,0.4716,80068,60727,13155,32970
random_forest_no_grade_subgrade,test,195749,0.210315,0.443294,0.704153,0.370329,0.203629,0.312537,0.71413,0.434789,89911,64669,11769,29400
lightgbm_06_no_grade_subgrade,train,962641,0.1883,0.468473,0.738094,0.398299,0.20606,0.304714,0.73221,0.430339,478531,302845,48541,132724
lightgbm_06_no_grade_subgrade,validation,186920,0.246763,0.468473,0.702179,0.424132,0.21914,0.357799,0.706515,0.47503,82304,58491,13537,32588
lightgbm_06_no_grade_subgrade,test,195749,0.210315,0.468473,0.710277,0.379359,0.215386,0.317702,0.708106,0.438613,91973,62607,12017,29152
xgboost_05_no_grade_subgrade,train,962641,0.1883,0.462322,0.73329,0.393962,0.208311,0.298251,0.738229,0.424856,466525,314851,47450,133815
xgboost_05_no_grade_subgrade,validation,186920,0.246763,0.462322,0.701651,0.425118,0.219255,0.354651,0.714645,0.474049,80813,59982,13162,32963
xgboost_05_no_grade_subgrade,test,195749,0.210315,0.462322,0.709727,0.379252,0.215267,0.31434,0.718915,0.437421,90021,64559,11572,29597
catboost_03_no_grade_subgrade,train,962641,0.1883,0.465666,0.72547,0.382796,0.212323,0.291954,0.737252,0.418272,457278,324098,47627,133638
catboost_03_no_grade_subgrade,validation,186920,0.246763,0.465666,0.699047,0.421277,0.220366,0.352698,0.715772,0.472547,80203,60592,13110,33015
catboost_03_no_grade_subgrade,test,195749,0.210315,0.465666,0.70599,0.374111,0.218168,0.310243,0.727683,0.435019,87975,66605,11211,29958
