model_family,candidate,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
logistic_regression,logistic_regression_06,"{""C"": 1.0, ""class_weight"": ""balanced""}",962641,0.1883,26.382,0.695409,0.412338,0.471834,0.470642,0.355098,0.697648,0.563545,0.44775,0.4,0.508444
logistic_regression,logistic_regression_08,"{""C"": 2.0, ""class_weight"": ""balanced""}",962641,0.1883,27.865,0.695403,0.412329,0.471747,0.470619,0.355044,0.697756,0.563485,0.447794,0.400003,0.508553
logistic_regression,logistic_regression_02,"{""C"": 0.25, ""class_weight"": ""balanced""}",962641,0.1883,27.371,0.695404,0.412331,0.471693,0.470619,0.355021,0.697843,0.563494,0.447783,0.4,0.508531
logistic_regression,logistic_regression_04,"{""C"": 0.5, ""class_weight"": ""balanced""}",962641,0.1883,26.742,0.695403,0.412328,0.471728,0.470616,0.35504,0.697756,0.563492,0.447777,0.400003,0.508509
logistic_regression,logistic_regression_07,"{""C"": 2.0, ""class_weight"": null}",962641,0.1883,25.882,0.693012,0.409162,0.168956,0.468977,0.349868,0.711046,0.235486,0.443185,0.4,0.496824
logistic_regression,logistic_regression_05,"{""C"": 1.0, ""class_weight"": null}",962641,0.1883,26.219,0.693009,0.409159,0.168949,0.468967,0.349857,0.711046,0.23527,0.443513,0.4,0.497648
logistic_regression,logistic_regression_01,"{""C"": 0.25, ""class_weight"": null}",962641,0.1883,30.543,0.693011,0.409161,0.168959,0.468966,0.349866,0.711003,0.235309,0.443472,0.400003,0.497539
logistic_regression,logistic_regression_03,"{""C"": 0.5, ""class_weight"": null}",962641,0.1883,28.328,0.69301,0.40916,0.168956,0.468953,0.349846,0.711024,0.235258,0.44353,0.4,0.497691
hist_gradient_boosting,hist_gradient_boosting_04,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 220, ""max_leaf_nodes"": 45}",962641,0.1883,26.855,0.704363,0.427144,0.467086,0.475623,0.357148,0.711718,0.54751,0.463531,0.400003,0.551046
hist_gradient_boosting,hist_gradient_boosting_06,"{""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 240, ""max_leaf_nodes"": 45}",962641,0.1883,32.258,0.703919,0.426324,0.479917,0.475452,0.361584,0.694005,0.551052,0.46421,0.4,0.552976
hist_gradient_boosting,hist_gradient_boosting_03,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31}",962641,0.1883,18.818,0.703726,0.426149,0.479711,0.475363,0.361574,0.693659,0.550881,0.464235,0.400003,0.553041
hist_gradient_boosting,hist_gradient_boosting_05,"{""l2_regularization"": 0.1, ""learning_rate"": 0.06, ""max_iter"": 180, ""max_leaf_nodes"": 31}",962641,0.1883,21.349,0.703222,0.426107,0.472156,0.475334,0.357084,0.710678,0.552125,0.46372,0.4,0.551588
hist_gradient_boosting,hist_gradient_boosting_02,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 180, ""max_leaf_nodes"": 31}",962641,0.1883,21.654,0.703167,0.425882,0.473564,0.475318,0.357799,0.707794,0.552058,0.463214,0.4,0.550157
hist_gradient_boosting,hist_gradient_boosting_01,"{""l2_regularization"": 0.0, ""learning_rate"": 0.04, ""max_iter"": 180, ""max_leaf_nodes"": 31}",962641,0.1883,23.821,0.700946,0.422988,0.473968,0.473675,0.356302,0.706363,0.557939,0.458238,0.4,0.536325
random_forest,random_forest_03,"{""max_depth"": 14, ""max_features"": 0.35, ""min_samples_leaf"": 50, ""n_estimators"": 120}",200000,0.1883,13.496,0.694125,0.414834,0.433702,0.46918,0.349467,0.713648,0.527333,0.447531,0.4,0.507881
random_forest,random_forest_02,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 120}",200000,0.1883,4.956,0.693469,0.413912,0.467271,0.467781,0.354374,0.687935,0.539431,0.447413,0.4,0.507577
random_forest,random_forest_01,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 75, ""n_estimators"": 100}",200000,0.1883,3.72,0.691762,0.41196,0.481328,0.465364,0.353086,0.682341,0.549845,0.441811,0.400004,0.493377
