model,split,review_rate,review_pct,review_count,score_threshold_min,base_bad_rate,precision,recall,captured_bad,total_bad,lift_over_base_bad_rate
hist_gradient_boosting_04,validation,0.01,1.0,1870,0.858922,0.246763,0.650802,0.026385,1217,46125,2.637354
hist_gradient_boosting_04,validation,0.02,2.0,3739,0.834806,0.246763,0.605777,0.049106,2265,46125,2.454891
hist_gradient_boosting_04,validation,0.05,5.0,9346,0.782019,0.246763,0.565376,0.114558,5284,46125,2.291165
hist_gradient_boosting_04,validation,0.1,10.0,18692,0.716669,0.246763,0.515675,0.208976,9639,46125,2.089756
hist_gradient_boosting_04,validation,0.15,15.0,28038,0.668884,0.246763,0.478458,0.29084,13415,46125,1.938934
hist_gradient_boosting_04,validation,0.2,20.0,37384,0.63124,0.246763,0.45359,0.367631,16957,46125,1.838157
hist_gradient_boosting_04,validation,0.25,25.0,46730,0.599152,0.246763,0.431522,0.437182,20165,46125,1.748726
hist_gradient_boosting_04,validation,0.3,30.0,56076,0.570104,0.246763,0.412547,0.50155,23134,46125,1.671834
hist_gradient_boosting_04,test,0.01,1.0,1958,0.861817,0.210315,0.578652,0.027521,1133,41169,2.751354
hist_gradient_boosting_04,test,0.02,2.0,3915,0.836462,0.210315,0.543806,0.051714,2129,41169,2.58567
hist_gradient_boosting_04,test,0.05,5.0,9788,0.78188,0.210315,0.495913,0.117904,4854,41169,2.357952
hist_gradient_boosting_04,test,0.1,10.0,19575,0.714901,0.210315,0.455377,0.216522,8914,41169,2.16521
hist_gradient_boosting_04,test,0.15,15.0,29363,0.665666,0.210315,0.42683,0.304428,12533,41169,2.029476
hist_gradient_boosting_04,test,0.2,20.0,39150,0.627551,0.210315,0.403678,0.383881,15804,41169,1.919396
hist_gradient_boosting_04,test,0.25,25.0,48938,0.593705,0.210315,0.383751,0.456168,18780,41169,1.824646
hist_gradient_boosting_04,test,0.3,30.0,58725,0.562497,0.210315,0.366215,0.522383,21506,41169,1.741269
