model,split,review_rate,review_pct,review_count,score_threshold_min,base_bad_rate,precision,recall,captured_bad,total_bad,lift_over_base_bad_rate
hist_gradient_boosting_04,validation,0.01,1.0,1870,0.858922,0.246763,0.650802,0.026385,1217,46125,2.637354
hist_gradient_boosting_04,validation,0.02,2.0,3739,0.834806,0.246763,0.605777,0.049106,2265,46125,2.454891
hist_gradient_boosting_04,validation,0.05,5.0,9346,0.782019,0.246763,0.565376,0.114558,5284,46125,2.291165
hist_gradient_boosting_04,validation,0.1,10.0,18692,0.716669,0.246763,0.515675,0.208976,9639,46125,2.089756
hist_gradient_boosting_04,validation,0.15,15.0,28038,0.668884,0.246763,0.478458,0.29084,13415,46125,1.938934
hist_gradient_boosting_04,validation,0.2,20.0,37384,0.63124,0.246763,0.45359,0.367631,16957,46125,1.838157
hist_gradient_boosting_04,validation,0.25,25.0,46730,0.599152,0.246763,0.431522,0.437182,20165,46125,1.748726
hist_gradient_boosting_04,validation,0.3,30.0,56076,0.570104,0.246763,0.412547,0.50155,23134,46125,1.671834
hist_gradient_boosting_04,test,0.01,1.0,1958,0.861817,0.210315,0.578652,0.027521,1133,41169,2.751354
hist_gradient_boosting_04,test,0.02,2.0,3915,0.836462,0.210315,0.543806,0.051714,2129,41169,2.58567
hist_gradient_boosting_04,test,0.05,5.0,9788,0.78188,0.210315,0.495913,0.117904,4854,41169,2.357952
hist_gradient_boosting_04,test,0.1,10.0,19575,0.714901,0.210315,0.455377,0.216522,8914,41169,2.16521
hist_gradient_boosting_04,test,0.15,15.0,29363,0.665666,0.210315,0.42683,0.304428,12533,41169,2.029476
hist_gradient_boosting_04,test,0.2,20.0,39150,0.627551,0.210315,0.403678,0.383881,15804,41169,1.919396
hist_gradient_boosting_04,test,0.25,25.0,48938,0.593705,0.210315,0.383751,0.456168,18780,41169,1.824646
hist_gradient_boosting_04,test,0.3,30.0,58725,0.562497,0.210315,0.366215,0.522383,21506,41169,1.741269
logistic_regression_06,validation,0.01,1.0,1870,0.877418,0.246763,0.604813,0.02452,1131,46125,2.450984
logistic_regression_06,validation,0.02,2.0,3739,0.852738,0.246763,0.581439,0.047133,2174,46125,2.356261
logistic_regression_06,validation,0.05,5.0,9346,0.801074,0.246763,0.542906,0.110005,5074,46125,2.200108
logistic_regression_06,validation,0.1,10.0,18692,0.732378,0.246763,0.496416,0.201171,9279,46125,2.011707
logistic_regression_06,validation,0.15,15.0,28038,0.680444,0.246763,0.46387,0.281973,13006,46125,1.879819
logistic_regression_06,validation,0.2,20.0,37384,0.638939,0.246763,0.441071,0.357485,16489,46125,1.787425
logistic_regression_06,validation,0.25,25.0,46730,0.603443,0.246763,0.421057,0.42658,19676,46125,1.70632
logistic_regression_06,validation,0.3,30.0,56076,0.571573,0.246763,0.404683,0.491989,22693,46125,1.639964
logistic_regression_06,test,0.01,1.0,1958,0.889636,0.210315,0.519918,0.024727,1018,41169,2.47209
logistic_regression_06,test,0.02,2.0,3915,0.863257,0.210315,0.510856,0.04858,2000,41169,2.429
logistic_regression_06,test,0.05,5.0,9788,0.807173,0.210315,0.470372,0.111832,4604,41169,2.236509
logistic_regression_06,test,0.1,10.0,19575,0.739064,0.210315,0.433257,0.206005,8481,41169,2.060035
logistic_regression_06,test,0.15,15.0,29363,0.68835,0.210315,0.406941,0.290243,11949,41169,1.934908
logistic_regression_06,test,0.2,20.0,39150,0.647618,0.210315,0.386539,0.367582,15133,41169,1.837903
logistic_regression_06,test,0.25,25.0,48938,0.61137,0.210315,0.368875,0.438485,18052,41169,1.753914
logistic_regression_06,test,0.3,30.0,58725,0.5793,0.210315,0.354823,0.506133,20837,41169,1.687102
random_forest_03,validation,0.01,1.0,1870,0.815184,0.246763,0.625134,0.025344,1169,46125,2.533333
random_forest_03,validation,0.02,2.0,3739,0.791484,0.246763,0.599091,0.048564,2240,46125,2.427795
random_forest_03,validation,0.05,5.0,9346,0.742087,0.246763,0.543655,0.110157,5081,46125,2.203144
random_forest_03,validation,0.1,10.0,18692,0.681586,0.246763,0.499091,0.202255,9329,46125,2.022547
random_forest_03,validation,0.15,15.0,28038,0.634025,0.246763,0.464833,0.282558,13033,46125,1.883722
random_forest_03,validation,0.2,20.0,37384,0.595844,0.246763,0.441553,0.357875,16507,46125,1.789377
random_forest_03,validation,0.25,25.0,46730,0.563451,0.246763,0.421507,0.427035,19697,46125,1.708141
random_forest_03,validation,0.3,30.0,56076,0.534424,0.246763,0.403987,0.491144,22654,46125,1.637145
random_forest_03,test,0.01,1.0,1958,0.808153,0.210315,0.542901,0.02582,1063,41169,2.581367
random_forest_03,test,0.02,2.0,3915,0.782309,0.210315,0.518263,0.049285,2029,41169,2.46422
random_forest_03,test,0.05,5.0,9788,0.732931,0.210315,0.485799,0.1155,4755,41169,2.309861
random_forest_03,test,0.1,10.0,19575,0.674211,0.210315,0.439285,0.208871,8599,41169,2.088697
random_forest_03,test,0.15,15.0,29363,0.629269,0.210315,0.412015,0.293862,12098,41169,1.959036
random_forest_03,test,0.2,20.0,39150,0.592631,0.210315,0.391596,0.372392,15331,41169,1.86195
random_forest_03,test,0.25,25.0,48938,0.559606,0.210315,0.374269,0.444898,18316,41169,1.779564
random_forest_03,test,0.3,30.0,58725,0.529711,0.210315,0.358842,0.511866,21073,41169,1.70621
