model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp
hist_gradient_boosting_04,train,best_validation_f1,962641,0.1883,0.467086,0.741626,0.403284,0.207221,0.303829,0.742432,0.431197,473016,308360,46688,134577
hist_gradient_boosting_04,train,target_validation_precision,962641,0.1883,0.54751,0.741626,0.403284,0.207221,0.349301,0.60294,0.442341,577780,203596,71973,109292
hist_gradient_boosting_04,validation,best_validation_f1,186920,0.246763,0.467086,0.704363,0.427144,0.21797,0.357134,0.711675,0.475601,81706,59089,13299,32826
hist_gradient_boosting_04,validation,target_validation_precision,186920,0.246763,0.54751,0.704363,0.427144,0.21797,0.400016,0.551046,0.463539,102672,38123,20708,25417
hist_gradient_boosting_04,test,best_validation_f1,195749,0.210315,0.467086,0.71197,0.381409,0.212843,0.319206,0.708713,0.440162,92352,62228,11992,29177
hist_gradient_boosting_04,test,target_validation_precision,195749,0.210315,0.54751,0.71197,0.381409,0.212843,0.357881,0.554082,0.434876,113652,40928,18358,22811
logistic_regression_06,train,best_validation_f1,962641,0.1883,0.471834,0.719952,0.372913,0.214035,0.294519,0.713541,0.416942,471559,309817,51925,129340
logistic_regression_06,train,target_validation_precision,962641,0.1883,0.563545,0.719952,0.372913,0.214035,0.345536,0.537732,0.420724,596759,184617,83793,97472
logistic_regression_06,validation,best_validation_f1,186920,0.246763,0.471834,0.695409,0.412338,0.224055,0.355091,0.697626,0.470631,82354,58441,13947,32178
logistic_regression_06,validation,target_validation_precision,186920,0.246763,0.563545,0.695409,0.412338,0.224055,0.4,0.508444,0.44775,105617,35178,22673,23452
logistic_regression_06,test,best_validation_f1,195749,0.210315,0.471834,0.700063,0.361512,0.225022,0.310546,0.709272,0.431962,89752,64828,11969,29200
logistic_regression_06,test,target_validation_precision,195749,0.210315,0.563545,0.700063,0.361512,0.225022,0.348299,0.538002,0.422848,113137,41443,19020,22149
random_forest_03,train,best_validation_f1,962641,0.1883,0.433702,0.736668,0.39654,0.195802,0.296709,0.751226,0.425399,458609,322767,45094,136171
random_forest_03,train,target_validation_precision,962641,0.1883,0.527333,0.736668,0.39654,0.195802,0.356228,0.567506,0.437705,595472,185904,78396,102869
random_forest_03,validation,best_validation_f1,186920,0.246763,0.433702,0.694125,0.414834,0.209084,0.34946,0.713626,0.46917,79520,61275,13209,32916
random_forest_03,validation,target_validation_precision,186920,0.246763,0.527333,0.694125,0.414834,0.209084,0.39999,0.507859,0.447516,105656,35139,22700,23425
random_forest_03,test,best_validation_f1,195749,0.210315,0.433702,0.702726,0.369274,0.202167,0.311255,0.71102,0.432973,89807,64773,11897,29272
random_forest_03,test,target_validation_precision,195749,0.210315,0.527333,0.702726,0.369274,0.202167,0.357982,0.517987,0.423371,116335,38245,19844,21325
