model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
xgboost,xgboost_05,validation,1.0,1870,1208,0.645989,0.02619,0.246763,2.61785
xgboost,xgboost_05,validation,2.0,3739,2297,0.614335,0.049799,0.246763,2.489573
xgboost,xgboost_05,validation,5.0,9346,5221,0.558635,0.113192,0.246763,2.263848
xgboost,xgboost_05,validation,10.0,18692,9587,0.512893,0.207848,0.246763,2.078482
xgboost,xgboost_05,validation,15.0,28038,13331,0.475462,0.289019,0.246763,1.926793
xgboost,xgboost_05,validation,20.0,37384,16835,0.450326,0.364986,0.246763,1.824932
xgboost,xgboost_05,validation,25.0,46730,20043,0.428911,0.434537,0.246763,1.738146
xgboost,xgboost_05,validation,30.0,56076,23057,0.411174,0.499881,0.246763,1.666269
xgboost,xgboost_05,test,1.0,1958,1125,0.574566,0.027326,0.210315,2.731927
xgboost,xgboost_05,test,2.0,3915,2123,0.542273,0.051568,0.210315,2.578383
xgboost,xgboost_05,test,5.0,9788,4898,0.500409,0.118973,0.210315,2.379327
xgboost,xgboost_05,test,10.0,19575,8888,0.454049,0.215891,0.210315,2.158895
xgboost,xgboost_05,test,15.0,29363,12437,0.42356,0.302096,0.210315,2.01393
xgboost,xgboost_05,test,20.0,39150,15702,0.401073,0.381403,0.210315,1.907008
xgboost,xgboost_05,test,25.0,48938,18655,0.381197,0.453132,0.210315,1.812501
xgboost,xgboost_05,test,30.0,58725,21445,0.365177,0.520902,0.210315,1.73633
