model_family,candidate,base_candidate,base_dataset,feature_set,feature_set_label,include_grade_subgrade,include_int_rate,params,scale_pos_weight,fit_rows,fit_bad_rate,fit_seconds,feature_count,roc_auc,pr_auc,mean_predicted_probability_raw,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall
xgboost,xgb_neutral_09_with_grade_subgrade_with_int_rate,xgb_neutral_09,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,14.584,102,0.702142,0.426323,0.197618,0.17881,0.474743,0.364687,0.679935
xgboost,xgb_neutral_06_with_grade_subgrade_with_int_rate,xgb_neutral_06,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,11.69,102,0.701961,0.426087,0.198053,0.170078,0.474347,0.355922,0.710873
xgboost,xgb_neutral_01_with_grade_subgrade_with_int_rate,xgb_neutral_01,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",1.0,300000,0.188573,12.093,102,0.701743,0.425691,0.197892,0.17417,0.474346,0.359904,0.695501
xgboost,xgb_neutral_08_with_grade_subgrade_with_int_rate,xgb_neutral_08,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.018, ""max_depth"": 5, ""min_child_weight"": 32, ""n_estimators"": 600, ""reg_alpha"": 0.5, ""reg_lambda"": 12.0, ""subsample"": 0.75}",1.0,300000,0.188573,16.933,102,0.701591,0.425548,0.198055,0.174912,0.4747,0.36048,0.694873
xgboost,xgb_neutral_02_with_grade_subgrade_with_int_rate,xgb_neutral_02,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 500, ""reg_alpha"": 0.2, ""reg_lambda"": 6.0, ""subsample"": 0.85}",1.0,300000,0.188573,14.827,102,0.700876,0.424886,0.198285,0.176082,0.473751,0.36011,0.692184
xgboost,xgb_neutral_04_with_grade_subgrade_with_int_rate,xgb_neutral_04,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 16, ""n_estimators"": 450, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1.0,300000,0.188573,11.786,102,0.699818,0.42375,0.198318,0.172429,0.473162,0.35648,0.703393
xgboost,xgb_neutral_07_with_grade_subgrade_with_int_rate,xgb_neutral_07,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 300, ""reg_alpha"": 0.3, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1.0,300000,0.188573,7.975,102,0.699655,0.42369,0.197693,0.177126,0.472774,0.360482,0.686678
xgboost,xgb_neutral_11_with_grade_subgrade_with_int_rate,xgb_neutral_11,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.022, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 6.0, ""subsample"": 0.8}",1.0,300000,0.188573,12.978,102,0.699891,0.423577,0.197993,0.170052,0.473025,0.354679,0.709897
xgboost,xgb_neutral_03_with_grade_subgrade_with_int_rate,xgb_neutral_03,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.018, ""max_depth"": 4, ""min_child_weight"": 24, ""n_estimators"": 550, ""reg_alpha"": 0.1, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,14.55,102,0.699141,0.422813,0.197688,0.168368,0.472857,0.353264,0.714862
xgboost,xgb_neutral_12_with_grade_subgrade_with_int_rate,xgb_neutral_12,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.016, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 650, ""reg_alpha"": 0.2, ""reg_lambda"": 12.0, ""subsample"": 1.0}",1.0,300000,0.188573,16.011,102,0.698853,0.422478,0.197833,0.177462,0.472165,0.359918,0.686157
xgboost,xgb_neutral_10_with_grade_subgrade_with_int_rate,xgb_neutral_10,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 16, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.9}",1.0,300000,0.188573,6.022,102,0.698126,0.421731,0.197824,0.176923,0.47157,0.359752,0.684249
xgboost,xgb_neutral_05_with_grade_subgrade_with_int_rate,xgb_neutral_05,missingness_challenger,with_grade_subgrade_with_int_rate,with grade/sub_grade + int_rate,True,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 24, ""n_estimators"": 700, ""reg_alpha"": 0.0, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,15.683,102,0.69729,0.420497,0.197663,0.173364,0.470856,0.355662,0.696412
xgboost,xgb_neutral_01_with_grade_subgrade_without_int_rate,xgb_neutral_01,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",1.0,300000,0.188573,11.506,101,0.702002,0.42647,0.193563,0.163662,0.474732,0.351969,0.728997
xgboost,xgb_neutral_09_with_grade_subgrade_without_int_rate,xgb_neutral_09,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,14.215,101,0.702048,0.426339,0.193491,0.175854,0.474563,0.362446,0.687111
xgboost,xgb_neutral_08_with_grade_subgrade_without_int_rate,xgb_neutral_08,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.018, ""max_depth"": 5, ""min_child_weight"": 32, ""n_estimators"": 600, ""reg_alpha"": 0.5, ""reg_lambda"": 12.0, ""subsample"": 0.75}",1.0,300000,0.188573,16.846,101,0.701937,0.426223,0.193436,0.17419,0.475227,0.361007,0.695176
xgboost,xgb_neutral_06_with_grade_subgrade_without_int_rate,xgb_neutral_06,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,11.324,101,0.701997,0.426207,0.193494,0.169616,0.474861,0.357259,0.707881
xgboost,xgb_neutral_02_with_grade_subgrade_without_int_rate,xgb_neutral_02,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 500, ""reg_alpha"": 0.2, ""reg_lambda"": 6.0, ""subsample"": 0.85}",1.0,300000,0.188573,14.212,101,0.701498,0.425684,0.193088,0.175217,0.475004,0.362132,0.690103
xgboost,xgb_neutral_04_with_grade_subgrade_without_int_rate,xgb_neutral_04,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 16, ""n_estimators"": 450, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1.0,300000,0.188573,10.886,101,0.700539,0.424524,0.192727,0.179498,0.473791,0.364792,0.675686
xgboost,xgb_neutral_11_with_grade_subgrade_without_int_rate,xgb_neutral_11,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.022, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 6.0, ""subsample"": 0.8}",1.0,300000,0.188573,12.313,101,0.700529,0.424302,0.192822,0.182164,0.473715,0.367147,0.667447
xgboost,xgb_neutral_07_with_grade_subgrade_without_int_rate,xgb_neutral_07,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 300, ""reg_alpha"": 0.3, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1.0,300000,0.188573,7.676,101,0.700212,0.423796,0.192552,0.177468,0.473856,0.363117,0.681778
xgboost,xgb_neutral_12_with_grade_subgrade_without_int_rate,xgb_neutral_12,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.016, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 650, ""reg_alpha"": 0.2, ""reg_lambda"": 12.0, ""subsample"": 1.0}",1.0,300000,0.188573,14.776,101,0.69938,0.423071,0.192627,0.164525,0.472618,0.350571,0.72503
xgboost,xgb_neutral_03_with_grade_subgrade_without_int_rate,xgb_neutral_03,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.018, ""max_depth"": 4, ""min_child_weight"": 24, ""n_estimators"": 550, ""reg_alpha"": 0.1, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,13.18,101,0.699588,0.422969,0.192606,0.175617,0.473116,0.360172,0.689257
xgboost,xgb_neutral_10_with_grade_subgrade_without_int_rate,xgb_neutral_10,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 16, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.9}",1.0,300000,0.188573,5.568,101,0.698446,0.421519,0.19227,0.173823,0.472263,0.357088,0.697106
xgboost,xgb_neutral_05_with_grade_subgrade_without_int_rate,xgb_neutral_05,missingness_challenger,with_grade_subgrade_without_int_rate,with grade/sub_grade without int_rate,True,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 24, ""n_estimators"": 700, ""reg_alpha"": 0.0, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,14.24,101,0.69731,0.420003,0.192135,0.167408,0.471052,0.349541,0.72206
xgboost,xgb_neutral_09_without_grade_subgrade_with_int_rate,xgb_neutral_09,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,10.037,60,0.702038,0.426423,0.199975,0.173938,0.474964,0.3605,0.695935
xgboost,xgb_neutral_06_without_grade_subgrade_with_int_rate,xgb_neutral_06,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.623,60,0.701829,0.426004,0.200091,0.173999,0.474727,0.36011,0.696369
xgboost,xgb_neutral_01_without_grade_subgrade_with_int_rate,xgb_neutral_01,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.636,60,0.701947,0.425906,0.2,0.170881,0.474726,0.357816,0.705106
xgboost,xgb_neutral_08_without_grade_subgrade_with_int_rate,xgb_neutral_08,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.018, ""max_depth"": 5, ""min_child_weight"": 32, ""n_estimators"": 600, ""reg_alpha"": 0.5, ""reg_lambda"": 12.0, ""subsample"": 0.75}",1.0,300000,0.188573,11.8,60,0.70171,0.425854,0.199975,0.172814,0.475218,0.35916,0.702092
xgboost,xgb_neutral_02_without_grade_subgrade_with_int_rate,xgb_neutral_02,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 500, ""reg_alpha"": 0.2, ""reg_lambda"": 6.0, ""subsample"": 0.85}",1.0,300000,0.188573,9.362,60,0.701069,0.425142,0.199948,0.170287,0.474455,0.356694,0.708293
xgboost,xgb_neutral_04_without_grade_subgrade_with_int_rate,xgb_neutral_04,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 16, ""n_estimators"": 450, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1.0,300000,0.188573,7.684,60,0.699835,0.42361,0.199336,0.183301,0.473024,0.366423,0.6671
xgboost,xgb_neutral_11_without_grade_subgrade_with_int_rate,xgb_neutral_11,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.022, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 6.0, ""subsample"": 0.8}",1.0,300000,0.188573,8.572,60,0.699932,0.423583,0.199487,0.16645,0.473249,0.35209,0.721539
xgboost,xgb_neutral_07_without_grade_subgrade_with_int_rate,xgb_neutral_07,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 300, ""reg_alpha"": 0.3, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1.0,300000,0.188573,5.527,60,0.699431,0.423266,0.19924,0.171373,0.473136,0.356295,0.704
xgboost,xgb_neutral_03_without_grade_subgrade_with_int_rate,xgb_neutral_03,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.018, ""max_depth"": 4, ""min_child_weight"": 24, ""n_estimators"": 550, ""reg_alpha"": 0.1, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,8.963,60,0.699025,0.422578,0.199144,0.172452,0.472856,0.356905,0.700401
xgboost,xgb_neutral_12_without_grade_subgrade_with_int_rate,xgb_neutral_12,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.016, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 650, ""reg_alpha"": 0.2, ""reg_lambda"": 12.0, ""subsample"": 1.0}",1.0,300000,0.188573,10.418,60,0.698825,0.422343,0.199187,0.166421,0.472543,0.351511,0.720694
xgboost,xgb_neutral_10_without_grade_subgrade_with_int_rate,xgb_neutral_10,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 16, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.9}",1.0,300000,0.188573,3.961,60,0.69801,0.421308,0.198782,0.174003,0.471904,0.357238,0.694981
xgboost,xgb_neutral_05_without_grade_subgrade_with_int_rate,xgb_neutral_05,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 24, ""n_estimators"": 700, ""reg_alpha"": 0.0, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,9.714,60,0.697007,0.419994,0.198381,0.17047,0.470868,0.353423,0.705214
xgboost,xgb_neutral_06_without_grade_subgrade_without_int_rate,xgb_neutral_06,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.198,59,0.696424,0.422215,0.189554,0.160881,0.469893,0.351418,0.708878
xgboost,xgb_neutral_09_without_grade_subgrade_without_int_rate,xgb_neutral_09,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,9.2,59,0.696288,0.421868,0.189246,0.168995,0.469466,0.358659,0.67935
